model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,Dn,0.45157659405464196,0.052761470918885035,0,0.0428947446147816,0.8839639004970437,0.9287267428353383
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,Do,0.6062069864274708,0.036217593934274456,0.14861205397586402,0.2999373453494668,0.840359078593353,0.92299752336879
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,g,0.3267310964425686,0.032777456180968556,0.018621690982474032,0.07452683693786509,0.6066669758561409,0.6354147281015702
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_1,0.49777741697097727,0.0648709549918674,0,0,1,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_2,0.22724412043119585,0.03579813457947061,0,0,0.4957419140311039,0.6164594714832619
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_3,0.5047347522723692,0.05400852387766922,0,0.03726337070198924,0.9555555555561582,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_8,0.547521362988359,0.05347408305071157,0.05333386169451826,0.17658047105249403,0.9951986416101792,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_1,0.6126644208994092,0.06171930527962835,0,0.09229056669416084,0.9764308754299126,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_2,0.4352515807568288,0.061821627965109933,0,0,0.7121417728330315,0.8965030765026671
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_3,0.49634908934429284,0.06463965464445916,0,0,0.9096247099441612,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_7,0.29943224930914747,0.07860981482417198,0,0,0.8717022183084806,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_8,0.8556590410517664,0.03132925132957922,0.5597372141062386,0.6319282805713933,0.9963239875388692,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,Dn,0.519499586092139,0.051768723677419665,0.06276593106504735,0.08882608277794121,0.9417361364014688,0.9790434191263808
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,Do,0.5859598610826126,0.03958874104581658,0.004017521713657546,0.2876448922377851,0.8304785792187435,0.8877280133203513
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,g,0.30495519267227494,0.03488793061054901,0,0.05253641249124753,0.5565183988756854,0.6777010598243166
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_1,0.3110441397060747,0.056766654861910334,0,0.0177295321280533,0.8045454527671966,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_2,0.26084848729344656,0.041573853617819366,0,0.0018867924528305389,0.5800000170014494,0.7935663683118588
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_3,0.42683129369917733,0.04543137356979729,0.06000051000896714,0.09090909090909091,0.6917833584785654,0.8124999999999976
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_8,0.29700516989334025,0.05228048180894785,0,0.006521968443780293,0.767545672894244,0.9771741634772598
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_1,0.45564613541475496,0.059551021819445625,0,0,0.8869451013869127,0.933466860889393
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_2,0.46408382254136443,0.06654205166315934,0,0,0.9640584772654792,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_3,0.6378136520948094,0.06255291875682054,0.04093430413801615,0.12516332405988317,1,1
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_7,0.34362793374421685,0.07316756536150283,0,0,0.7305428666630709,0.8611572802200739
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_8,0.7466035993609836,0.05624891178084715,0,0.3513773630086188,0.9729914317874431,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,Dn,0.45434364582294817,0.05379767390106166,0,0.031181331635472702,0.8965973348800843,0.9698026315789471
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,Do,0.6062069864274708,0.036217593934274456,0.14861205397586402,0.2999373453494668,0.840359078593353,0.92299752336879
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,g,0.3267310964425686,0.032777456180968556,0.018621690982474032,0.07452683693786509,0.6066669758561409,0.6354147281015702
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_1,0.4835552050575208,0.0645758562492364,0,0,1,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_2,0.2470708545543665,0.03505348083348621,0,0,0.5026879848310037,0.6147777615841523
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_3,0.5047347522723692,0.05400852387766922,0,0.03726337070198924,0.9555555555561582,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_8,0.5329010948844719,0.051421167870199826,0.05666722805042566,0.17771281843627593,0.9903972832203585,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_1,0.6233816169295568,0.056725117366444276,0,0.0845151046591446,0.9682031963303676,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_2,0.47850492605464695,0.053165539648022134,0,0.003708343748416806,1,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_3,0.48996335644296735,0.05803212617407994,0,0,0.9694463120900207,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_7,0.47430388682934144,0.06672162017539754,0,0,1,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_8,0.8683963461060271,0.026446807976578106,0.5228872264452173,0.6319282805713933,0.9971223022381559,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,Dn,0.4885198132993527,0.05315295460055149,0,0.08447046672272472,0.9375531619349192,0.9776463137348064
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,Do,0.5859598610826126,0.03958874104581658,0.004017521713657546,0.2876448922377851,0.8304785792187435,0.8877280133203513
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,g,0.30495519267227494,0.03488793061054901,0,0.05253641249124753,0.5565183988756854,0.6777010598243166
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,q_1,0.3110441397060747,0.056766654861910334,0,0.0177295321280533,0.8045454527671966,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,q_2,0.2832470179815239,0.04610128910450586,0,0.0037735849056610947,0.5914781736782402,0.9013362425605199
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,q_3,0.44218918554809,0.044648715874956155,0.06400054400956495,0.0927272727272285,0.7340456226818151,0.8883783896384573
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,q_8,0.30620751252132766,0.051500295600287994,0,0.013043936887560646,0.7563368944252437,0.9764378461700749
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,r_1,0.47242317877074047,0.05995667926346818,0,0,0.9047057719663396,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,r_2,0.4846440359517647,0.05859618169290458,0,0,0.9965196339140465,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,r_3,0.5728594967488578,0.053711858968602866,0.056952075322457246,0.11210703820608499,0.9837784594949743,1
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,r_7,0.3511694255956327,0.05158351737496352,0,0,0.7722562128561061,0.933073273559141
