model,dataset,pooling,package,method,type,focus,stat_obs,stat_pred,stat_df,p
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,pb-G2,mean,267.60125217668235,NA,136,0.001996007984031936
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,G2,mean,267.60125217668235,NA,136,1.2514812720853868e-10
model_orig.eqn,exp1.txt,complete,MPTinR,asymptotic,G2,mean,2.939778220905282,NA,2,0.22995098293339314
model_orig.eqn,exp1.txt,no,TreeBUGS,simple,T1_G2,mean,1.1031832150364111,0.7334782683069064,NA,0.122
model_orig.eqn,exp1.txt,no,TreeBUGS,simple,T2,cov,448.20926368038005,315.5275308576531,NA,0.0585
model_orig.eqn,exp1.txt,complete,TreeBUGS,simple,T1_G2,mean,27.053440858118392,27.91322712617026,NA,0.538
model_orig.eqn,exp1.txt,complete,TreeBUGS,simple,T2,cov,NA,NA,NA,NA
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait,T1_G2,mean,0.8608238030677601,0.74710896721428,NA,0.346
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait,T2,cov,439.7427327756323,318.7154867691116,NA,0.087
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,T1_G2,mean,0.9752531024233597,0.7402958975752212,NA,0.216
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,T2,cov,504.36208850916444,316.62280587447367,NA,0.0165
