model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,93.45217546609078,NA,70,0.06986027944111776
model_orig.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,174.1490767105916,NA,66,0.001996007984031936
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,93.45217546609078,NA,70,0.03209319233804169
model_orig.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,174.1490767105916,NA,66,1.0838599463641198e-11
model_orig.eqn,exp1.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,1.8661490573213086,NA,2,0.3933425065753869
model_orig.eqn,exp1.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,1.2207023833907442,NA,2,0.54316008226494
model_orig.eqn,exp1.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,0.5930800667956984,0.35903957502108585,NA,0.1385
model_orig.eqn,exp1.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,0.5101031482407128,0.3744386932858206,NA,0.265
model_orig.eqn,exp1.txt,no,TreeBUGS,simple,strong_naming,T2,cov,216.19011465818872,150.63739211122223,NA,0.127
model_orig.eqn,exp1.txt,no,TreeBUGS,simple,weak_naming,T2,cov,232.01914902219133,164.8901387464309,NA,0.149
model_orig.eqn,exp1.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,13.729425094281568,13.962630352851752,NA,0.5005
model_orig.eqn,exp1.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,13.324015763836822,13.950596773318509,NA,0.5475
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,0.47693529291012376,0.3709923974531091,NA,0.297
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,0.38388851015763636,0.3761165697611709,NA,0.4955
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,217.83019719105442,153.43893443068168,NA,0.1285
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,221.91253558457788,165.27655233842987,NA,0.1915
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,0.5394592185931347,0.36012603739176885,NA,0.189
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,0.43579388383022494,0.3801698601834523,NA,0.4005
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,254.20114135607514,151.28280072106998,NA,0.041
model_orig.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,250.16094715308927,165.34000515340372,NA,0.097
