model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,Dn,0.5104445718256201,0.053065145329843626,0.017515773133633245,0.08462680799617665,0.8963247863690142,0.9471735907790668
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,Do,0.5903490378619288,0.03587826729217246,0.14669954107560637,0.28700781563211464,0.8184239655584735,0.898893400598847
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,g,0.3618461671678124,0.0322530386736925,0.062231487603843914,0.1488625992846168,0.6114285320983193,0.7347623442111565
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_1,0.48330244810248313,0.06452731575922477,0,0,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_2,0.2666061233031672,0.040476215837334684,0,0,0.5729930395127543,0.6966666452300811
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_3,0.5252225349260792,0.05266143645437441,0,0.07863366380555774,0.9555555555555554,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_8,0.5419913344325716,0.05380039861136607,0.05333395732487291,0.1768121955711171,0.9948087629152242,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_1,0.6108144709504069,0.06144255115401814,0.010714310743922574,0.07898103130570949,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_2,0.3574464128017551,0.043148675695893556,0,0.0064896016036076,0.6187780133422517,0.6628337760295695
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_3,0.5104502431006843,0.07408038224210287,0,0,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_6,0.5000285607978818,0.09472835021522218,0,0.06212765425543065,0.9580099873848871,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_7,0.33544860513677294,0.06416365273891031,0,0,0.8112096684580425,0.9658912883914776
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_8,0.8721819439090363,0.026660276655633076,0.5793502611132331,0.6454762259672293,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,Dn,0.5322738979582208,0.04258839142691616,0.0880485558196972,0.25337729481118765,0.9056600505251547,0.9403967549495453
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,Do,0.5766119778196122,0.038487267718075334,0,0.3246594214951296,0.8366668088235759,0.8662737966601932
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,g,0.3259704053412204,0.03513033125407586,0,0.11522630866384778,0.5448603566128187,0.7789274496154206
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_1,0.31114619077474426,0.056750996465549444,0,0.019175360158943437,0.8045454434297767,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_2,0.2563391528571476,0.03949028824580616,0,0.0015941068457230806,0.5799999451601624,0.727158550890957
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_3,0.42085782295301666,0.04399966384385928,0.05999998695938234,0.1031170849622516,0.6827251190647914,0.8124999999749055
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_8,0.33381262088346864,0.057408985727341995,0,0.005882352941186169,0.9257053019376914,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_1,0.4555109232895718,0.06059514896229518,0,0.002597681783082329,0.8902188583643297,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_2,0.4237297226536825,0.053344143683429233,0,0.025115652012905436,0.732498748182708,0.8781996250682275
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_3,0.5752197789206317,0.08003829048481759,0,0.02459251273244611,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_6,0.5789326593011763,0.0982434273271993,0,0.03870568575878687,0.999982258517556,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_7,0.35031221193377815,0.0575677626926252,0,0,0.7436947838907114,0.8400438527212148
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,r_8,0.7524114820274072,0.05236532583359532,0,0.429815062466096,0.9647889600201587,0.9846938767394207
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,Dn,0.5363283718202899,0.05316208290569654,0.018610508954485325,0.0849657123101411,0.9337675433287955,0.9661205107328992
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,Do,0.5932539901389645,0.03495899977276966,0.14861368013913343,0.2875861019468847,0.8149083163707642,0.8963798557607774
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,g,0.3618461671678124,0.0322530386736925,0.062231487603843914,0.1488625992846168,0.6114285320983193,0.7347623442111565
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_1,0.48330244810248313,0.06452731575922477,0,0,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_2,0.2869612275887124,0.03949719987544002,0,0,0.5993764484995765,0.7164538570711161
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_3,0.5252225349260792,0.05266143645437441,0,0.07863366380555774,0.9555555555555554,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,q_8,0.5276870642580351,0.051679439199109556,0.05666732965767747,0.17817626762892408,0.9896175258304484,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_1,0.6118165984905164,0.05831032265172594,0,0.07469258418293377,0.9998849737176456,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_2,0.38556357354356163,0.04351085048596986,0,0.0037083437734900596,0.6383163112931187,0.757142855087304
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_3,0.5275144577088783,0.060349965198850865,0,0,1,1
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,r_6,0.42938643186398845,0.06017353040476352,0,0,0.9857692198703654,1
