model,dataset,pooling,package,method,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_qrest.eqn,exp1.txt,no,MPTinR,PB/MLE,pb-G2,mean,263.2199458243298,NA,68,0.001996007984031936
model_orig_qrest.eqn,exp1.txt,no,MPTinR,asymptotic,G2,mean,263.2199458243298,NA,68,9.210735177394398e-25
model_orig_qrest.eqn,exp1.txt,complete,MPTinR,asymptotic,G2,mean,2.939778220905282,NA,1,0.08642259820992029
model_orig_qrest.eqn,exp1.txt,no,TreeBUGS,simple,T1_G2,mean,1.1470379224297809,0.7292599579226828,NA,0.088
model_orig_qrest.eqn,exp1.txt,no,TreeBUGS,simple,T2,cov,461.5161042772421,314.60901759195906,NA,0.0485
model_orig_qrest.eqn,exp1.txt,complete,TreeBUGS,simple,T1_G2,mean,27.576624733400333,28.303703733883985,NA,0.5265
model_orig_qrest.eqn,exp1.txt,complete,TreeBUGS,simple,T2,cov,NA,NA,NA,NA
model_orig_qrest.eqn,exp1.txt,partial,TreeBUGS,trait,T1_G2,mean,0.8265332441674332,0.7364084783917259,NA,0.356
model_orig_qrest.eqn,exp1.txt,partial,TreeBUGS,trait,T2,cov,421.92157975314495,315.25747689500736,NA,0.098
model_orig_qrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,T1_G2,mean,0.9644040963831737,0.7377825830180073,NA,0.2155
model_orig_qrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,T2,cov,510.3610739919479,316.4880779665873,NA,0.0135
