model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,Dn,0.39219063968729373,0.054454563629250975,0,0.028333322075238414,0.8577254097425115,0.9193054399737836
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,Do,0.6156734589122596,0.03727576474748956,0.15578534699375823,0.30319305967937454,0.8373476249380217,0.9210221973548257
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,g,0.27577483697046024,0.02860095469953841,0.0216241329397996,0.05630435492768203,0.5225757387186641,0.6170329879948386
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_1,0.48391845355608,0.06463065181416557,0,0,1,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_2,0.23918540157254026,0.041649848357560054,0,0,0.5291929513691249,0.7983376427075568
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_3,0.5512669735422064,0.05254784744214962,0.012845298931545594,0.160624353241421,0.8951528755569411,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_6,0.5127668003833207,0.06153789067629008,0,0,1,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_7,0.2128572138688672,0.04789120459289943,0,0,0.5000611482776576,0.8775470814560762
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,q_8,0.5345824927547584,0.053375346693702766,0.0550014977951862,0.17238362163155188,0.993818985691862,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_1,0.5810903664357402,0.06639160253307258,0,0.06793722002259024,0.9999486081995442,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_2,0.39289249736087095,0.06289089438989806,0,0,0.6929709424653612,0.9053379607846261
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_3,0.4829523030731938,0.07127625227198287,0,0,0.9520692160612714,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_7,0.2785090854009738,0.07815779138342037,0,0,0.6767695367302176,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,r_8,0.8519481788571701,0.026327970143597505,0.5750270216869691,0.6553421306321022,0.9893268208716952,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,Dn,0.521622109995665,0.04848239935136306,0.046131246279600385,0.12477718025038807,0.8448035969612819,0.956370755558715
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,Do,0.574871956577506,0.038648974107487404,0.013559322033673868,0.2828408052558484,0.8166575092754238,0.8919292231370013
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,g,0.32156856746094375,0.033999718692690424,0.011204510978943084,0.10365463820809714,0.5560965779351776,0.7193479133903122
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_1,0.31028041549855084,0.056633653506951744,0,0.02116341592383951,0.8045455182932639,0.9954545450239197
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_2,0.2566549799549507,0.03913881712348205,0,0,0.5156103982124205,0.614564938737737
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_3,0.4143474176391773,0.05238119448651423,0,0.04879628521327471,0.7586206896551724,0.9375004439374581
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_6,0.43099751632413186,0.0575537085739785,0,0.03716819890536732,0.8000961155919364,1
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,q_7,0.25599535969483134,0.04919668542885715,0,0,0.7014300490775232,0.7793923060552261
