model,dataset,pooling,package,method,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,pb-G2,mean,49.85240475131971,NA,0,0.5189620758483033
model_orig_rrest.eqn,exp1.txt,no,MPTinR,asymptotic,G2,mean,49.85240475131971,NA,0,0
model_orig_rrest.eqn,exp1.txt,complete,MPTinR,asymptotic,G2,mean,0,NA,0,1
model_orig_rrest.eqn,exp1.txt,no,TreeBUGS,simple,T1_G2,mean,1.1618607438757014,0.7356070456067006,NA,0.101
model_orig_rrest.eqn,exp1.txt,no,TreeBUGS,simple,T2,cov,410.0837833304338,314.8061633343157,NA,0.1405
model_orig_rrest.eqn,exp1.txt,complete,TreeBUGS,simple,T1_G2,mean,28.628442862311218,27.853588853678406,NA,0.4745
model_orig_rrest.eqn,exp1.txt,complete,TreeBUGS,simple,T2,cov,NA,NA,NA,NA
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait,T1_G2,mean,0.7615153249635849,0.7373083001207706,NA,0.4635
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait,T2,cov,370.3157286527545,314.694155624851,NA,0.251
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,T1_G2,mean,0.8948915011177107,0.7341787189451342,NA,0.2955
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,T2,cov,445.4635770559863,315.54101851035426,NA,0.0695
