model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,19.573589620240767,NA,0,0.8303393213572854
model_orig_rrest.eqn,exp1.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,30.278815131078943,NA,0,0.15568862275449102
model_orig_rrest.eqn,exp1.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,19.573589620240767,NA,0,0
model_orig_rrest.eqn,exp1.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,30.278815131078943,NA,0,0
model_orig_rrest.eqn,exp1.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,-3.637978807091713e-12,NA,0,1
model_orig_rrest.eqn,exp1.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,0,NA,0,1
model_orig_rrest.eqn,exp1.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,0.6073558328872539,0.36067936678658846,NA,0.1475
model_orig_rrest.eqn,exp1.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,0.5545049109884475,0.37492767882011224,NA,0.226
model_orig_rrest.eqn,exp1.txt,no,TreeBUGS,simple,strong_naming,T2,cov,188.59013070757587,151.88709106051542,NA,0.262
model_orig_rrest.eqn,exp1.txt,no,TreeBUGS,simple,weak_naming,T2,cov,221.49365262285792,162.91907227380028,NA,0.1795
model_orig_rrest.eqn,exp1.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,14.575356477347297,13.926694555451752,NA,0.469
model_orig_rrest.eqn,exp1.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,14.05308638496392,13.926894298226655,NA,0.5015
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,0.37396575367904794,0.36073715332405837,NA,0.4845
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,0.387549571284537,0.3765711467967123,NA,0.483
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,174.09946880549705,150.86755094458715,NA,0.344
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,196.21625984725748,163.82660468026387,NA,0.3025
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,0.46598435386377285,0.3553831322666867,NA,0.29
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,0.42890714725393775,0.3787955866784474,NA,0.4145
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,223.3383836700524,150.9154198333547,NA,0.114
model_orig_rrest.eqn,exp1.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,222.12519338593395,164.62559867699957,NA,0.167
