model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,Dn_bn,0.6172639197971503,0.04199866857713154,0.20208924048780602,0.3312104435517706,0.8750981521231909,0.937874488900841
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,Dn_bo,0.44956963098434666,0.04057296046352561,0.15468754457513903,0.2252306844427347,0.7169646887391797,0.8491137654281222
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,Do_bn,0.4560921447372756,0.0303332541487298,0.226299678905586,0.2782326148863261,0.6844166696697946,0.7468255914695132
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,Do_bo,0.5756180842647758,0.03170029312470828,0.2924017540651598,0.34275473060568795,0.7992486196601908,0.8138464386613402
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,g_bn,0.3718129494107825,0.030307277143418077,0.1475678658843214,0.18536329054615486,0.5375504268908077,0.6152431464777834
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,g_bo,0.6434309630035637,0.035238023735954596,0.24401121704311207,0.4242033590182479,0.8171676239195702,0.8916443817781889
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_1_bn,0.14710839399486952,0.03235505811152138,0,0,0.3299903690943611,0.49316789105966585
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_1_bo,0.12601777472875522,0.04912072714134246,0,0,0.5948717948717296,0.6911747779578509
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_2_bn,0.17071743227371924,0.029018922351135908,0,0,0.3268183346763748,0.4731713347896715
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_2_bo,0.1978124539130654,0.05197157938090737,0,0.008721300719193505,0.5745278923163755,0.8516943922272983
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_3_bn,0.27556695203898557,0.043095296868444266,0,0,0.5941571893282359,0.6927667345045033
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_3_bo,0.40168647917888545,0.05413062120808364,0,0.07369563490957942,0.7806924428035289,0.9400000845062908
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_8_bn,0.1888629931975496,0.03895073760911712,0,0,0.4767475744932045,0.5520532155975417
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,q_8_bo,0.20795354602183197,0.0469279815507697,0,0,0.47168756739100476,0.7729361642822533
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_1_bn,0.5707550188829272,0.05050037507361486,0.07937150297265289,0.27608301434486887,0.8937116303385984,1
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_1_bo,0.6795589819026593,0.043637884534807644,0.4002416320408435,0.4191058121006129,0.9924762793365792,1
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_2_bn,0.20246696177123163,0.059945167802790085,0,0,0.5605518010654722,0.8538063228283228
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_2_bo,0.251479888700016,0.0759844153229185,0,0,0.6648218875478142,1
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_3_bn,0.16167519304999653,0.08917436455646173,0,0,0.4274990989443901,0.8428571107289801
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_3_bo,0.18640122043331292,0.08747578975641492,0,0,0.7304309541076315,0.9327289065684832
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_6_bn,0.2274584454475534,0.11271286953106797,0,0,0.7415944426332219,0.9353986106583057
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_6_bo,0.200344747465792,0.051080002910714406,0,0,0.3411556096246848,0.36554238583771625
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_7_bn,0.3113418255064306,0.10133734297229977,0,0,0.7609278850874812,0.9342930335178852
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_7_bo,0.3369302449626172,0.07285819105300174,0,0,0.7902247451238292,1
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_8_bn,0.6887837957020855,0.04523813238735339,0.3504849745180106,0.44730420233503926,0.9652211154547248,1
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,r_8_bo,0.6515811075710153,0.035460642831176725,0.3679829558348596,0.439128479911951,0.9010963188677686,0.9514215891032374
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,Dn_bn,0.6282735476698107,0.03635192979210206,0.2303729544084385,0.4201734823881095,0.8677408681155079,0.9029522554769788
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,Dn_bo,0.5197189308884562,0.029768023600088976,0.23294091246281073,0.38088251308137155,0.7187902183834127,0.8118164091930113
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,Do_bn,0.491636602302689,0.044231966187717006,0.057904456067283214,0.1696447059167841,0.713020741162874,0.871171712475336
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,Do_bo,0.5690954975911351,0.04870500662894002,0.020335684202634798,0.3168492840573511,0.8438539739518461,0.9227040954848458
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,g_bn,0.3590864147627752,0.033171129810205396,0.08375840907961309,0.13468592385165484,0.5928430890428233,0.633030783222182
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,g_bo,0.7093093481375055,0.028742387334206986,0.4930146883686284,0.5628540400474044,0.9803109302651789,1
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,q_1_bn,0.22864263966347215,0.04174519489271362,0,0,0.5024998399872024,0.6829737764898205
