model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,341.1088808467388,NA,50,0.001996007984031936
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,460.385083521222,NA,52,0.001996007984031936
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,341.1088808467388,NA,50,5.84172716395649e-45
model_orig_n_qrest.eqn,exp2.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,460.385083521222,NA,52,8.708824160548485e-67
model_orig_n_qrest.eqn,exp2.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,12.834136426827172,NA,2,0.0016334381135902085
model_orig_n_qrest.eqn,exp2.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,14.311924287925649,NA,2,7.801985308293059e-4
model_orig_n_qrest.eqn,exp2.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,5.222113598103194,1.0523430629445754,NA,0
model_orig_n_qrest.eqn,exp2.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,6.040414476521705,1.014439079674443,NA,0
model_orig_n_qrest.eqn,exp2.txt,no,TreeBUGS,simple,strong_naming,T2,cov,568.4547553150237,389.20317501486744,NA,0.0095
model_orig_n_qrest.eqn,exp2.txt,no,TreeBUGS,simple,weak_naming,T2,cov,788.2314105163869,352.04912932567953,NA,0
model_orig_n_qrest.eqn,exp2.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,39.92168726161019,27.89706138838558,NA,0.1185
model_orig_n_qrest.eqn,exp2.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,43.84780437514947,28.034455080758576,NA,0.0705
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,2.22369335716133,1.053410045210323,NA,0.0085
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,3.0140287645647215,1.0205186023387465,NA,0
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,599.1243188641841,382.2274159477888,NA,0.0095
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,794.6437981267306,352.18747513553376,NA,5e-4
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,2.292359428315316,1.068474179333016,NA,0.006
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,2.7329407719618373,1.0332117635342295,NA,0
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,701.8338388778199,387.723380535044,NA,0
model_orig_n_qrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,1085.4825673304633,353.3803160600232,NA,0
