model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_n_rrest.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,148.28992895095462,NA,0,0.001996007984031936
model_orig_n_rrest.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,330.80998743831725,NA,0,0.001996007984031936
model_orig_n_rrest.eqn,exp2.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,148.28992895095462,NA,0,0
model_orig_n_rrest.eqn,exp2.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,330.80998743831725,NA,0,0
model_orig_n_rrest.eqn,exp2.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,0.5959250656342192,NA,0,0
model_orig_n_rrest.eqn,exp2.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,0.948588922910858,NA,0,0
model_orig_n_rrest.eqn,exp2.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,4.2174143338398276,1.0373060012066189,NA,0
model_orig_n_rrest.eqn,exp2.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,6.194304653231336,1.012622820049414,NA,0
model_orig_n_rrest.eqn,exp2.txt,no,TreeBUGS,simple,strong_naming,T2,cov,494.3180923512698,387.51577732504035,NA,0.079
model_orig_n_rrest.eqn,exp2.txt,no,TreeBUGS,simple,weak_naming,T2,cov,734.6169915274461,353.5476766836114,NA,0
model_orig_n_rrest.eqn,exp2.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,29.98583433738789,28.22029949703397,NA,0.4305
model_orig_n_rrest.eqn,exp2.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,28.94076856355752,28.259528723443303,NA,0.467
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,1.298436296538905,1.0556635713223368,NA,0.2785
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,2.7700876642642656,1.0327304427418682,NA,0.001
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,495.9165112037103,382.24868328233975,NA,0.088
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,755.171132445072,354.5286868563371,NA,5e-4
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,1.4426382594090819,1.058743602851165,NA,0.1855
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,2.2725347167420713,1.0348477436235692,NA,0.005
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,665.3255772846351,387.39549829029266,NA,0.0025
model_orig_n_rrest.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,1086.386957090666,352.22221782449924,NA,0
