model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Dn_bn,0.5743688517592329,0.04997729287354449,0.11586093965954888,0.2548840153630042,0.9146426220903832,0.9384692829956853
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Dn_bo,0.5237335327670339,0.04767644112304393,0.10710142097238017,0.22946611876405254,0.8079579256560592,0.845870874727414
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Do_bn,0.6431533577783601,0.03716286591279614,0.3053871019023824,0.43375126124857766,0.8654692876965875,0.8910534750642682
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Do_bo,0.7126038647354086,0.040232537696791984,0.234237908039297,0.518497875174374,0.9206286554675274,0.9675972259443729
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,g_bn,0.34564657014872324,0.030835162830779396,0.12504042787632125,0.15779132163231713,0.5035367514706974,0.6218285051696286
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,g_bo,0.692812134676365,0.023006432502856076,0.44671635644159075,0.5907924528537845,0.8016267800382755,0.8540836317393653
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_1_bn,0.14879780400729553,0.03094952744171397,0,0,0.32763337981301277,0.4980705136027187
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_1_bo,0.08275456276156175,0.022136076057709574,0,0,0.23071069166170557,0.34155125785815804
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_2_bn,0.3714376469673599,0.02248850015789332,0.17663789659520715,0.2767332339673776,0.499303732017113,0.5714080044527794
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_2_bo,0.3616391754780443,0.02350702137584358,0.11996907014051741,0.26421041248808524,0.4713077208358767,0.5334274583917822
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_3_bn,0.6999446055149081,0.03513602051043643,0.4031242400826983,0.5009812813340405,0.8916598181493263,0.962516727328137
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_3_bo,0.6734498580786522,0.02618379155198723,0.5002323675468981,0.5281740982325868,0.8028868873265144,0.9061383067216591
