model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,215.19394519132163,NA,96,0.015968063872255488
model_orig_n.eqn,exp3.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,201.59705958938514,NA,88,0.015968063872255488
model_orig_n.eqn,exp3.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,215.19394519132163,NA,96,3.956209582107226e-11
model_orig_n.eqn,exp3.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,201.59705958938514,NA,88,6.720806672474533e-11
model_orig_n.eqn,exp3.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,55.62528641154131,NA,4,2.4027336456235735e-11
model_orig_n.eqn,exp3.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,29.85764270638174,NA,4,5.232134582767179e-6
model_orig_n.eqn,exp3.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,5.71186002192521,1.1206830642105696,NA,0
model_orig_n.eqn,exp3.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,6.3550308551617185,1.2332446226888483,NA,0
model_orig_n.eqn,exp3.txt,no,TreeBUGS,simple,strong_naming,T2,cov,588.5513785603345,524.3143432956628,NA,0.262
model_orig_n.eqn,exp3.txt,no,TreeBUGS,simple,weak_naming,T2,cov,619.952032794243,580.066367360641,NA,0.3405
model_orig_n.eqn,exp3.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,79.80956156553025,28.55815269415512,NA,0
model_orig_n.eqn,exp3.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,54.82437349476421,28.017694744301128,NA,0.008
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,3.410891492306506,1.132120834942755,NA,0
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,2.687027921548785,1.243131787587183,NA,0.002
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,661.7130084793233,514.0039334262295,NA,0.13
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,678.950603729442,564.3370837412257,NA,0.1705
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,3.507003587268797,1.1412847021112704,NA,0
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,2.8011117945766144,1.2591556516704943,NA,0.001
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,943.3708960012199,509.8323240233316,NA,0.002
model_orig_n.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,826.912676839371,560.5710664280002,NA,0.026
