model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Dn_bn,0.5748936443585708,0.04645709496322999,0.07463955166028009,0.3099081390533056,0.8074395927017559,0.9122332272514102
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Dn_bo,0.5220609829358048,0.04624235807692775,0.11294774350792791,0.2338181593894203,0.7994322622871071,0.8388247061624682
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Do_bn,0.6451852831019764,0.04191198331245271,0.29903945801844994,0.4115552418083981,0.8852363808117591,0.9119168578336023
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,Do_bo,0.7099657586389229,0.04123928085602319,0.24062445175035702,0.5153515675102407,0.9213475628148802,0.976339183105335
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,g_bn,0.3151876119846127,0.024353656859609697,0.12343358319072864,0.1368057306271674,0.45365832342259643,0.5490880518633756
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,g_bo,0.6841369993441245,0.02341643100160132,0.4404538970712456,0.6044340564483626,0.8050170146705131,0.8696603544628537
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_1_bn,0.14684632822708266,0.030171107416225494,0,0,0.3169868007554172,0.4889820848786499
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_1_bo,0.08320859480598203,0.022152398431076203,0,0,0.2373963422700723,0.3386234014450341
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_2_bn,0.37517760837225594,0.036221475556387356,0.08002927479419412,0.1964929920209452,0.5216120805015902,0.623538627764212
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_2_bo,0.34364709231219825,0.04458462557674563,0,0.061110408258902925,0.526959338115407,0.5658868557356252
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_3_bn,0.9063482487861878,0.02565980840101077,0.6754128149702616,0.7142857142857143,1,1
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_3_bo,0.7884517557436679,0.041101898748793116,0.5777325513350269,0.608373512515243,1,1
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_6_bn,0.5524683101691138,0.061460159721457984,0.13214371508596737,0.23896357154349138,0.869663795588796,0.9527423002142088
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_6_bo,0.6492464310109158,0.03340849289111183,0.3644620092231282,0.5077380773504533,0.8061258407933685,0.8830255599777707
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,q_7_bn,0.3376748074554787,0.032614538542313005,0.071052319427276,0.18676102208069914,0.5009743973747318,0.5467188903717697
