"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
6,8,3,2,6,175,101,77,5,3,9,5,"Dube_2012-P","1:Dube_2012-P"
3,4,1,0,11,181,174,12,10,3,1,0,"Dube_2012-P","2:Dube_2012-P"
15,10,1,0,22,152,143,50,0,0,6,1,"Dube_2012-P","3:Dube_2012-P"
50,4,3,1,2,140,180,8,5,0,2,5,"Dube_2012-P","4:Dube_2012-P"
5,3,3,0,4,185,190,3,3,2,1,1,"Dube_2012-P","5:Dube_2012-P"
10,32,16,17,32,93,54,81,26,13,18,8,"Dube_2012-P","6:Dube_2012-P"
22,7,0,2,14,155,171,22,0,2,4,1,"Dube_2012-P","7:Dube_2012-P"
31,43,2,6,32,86,117,55,3,4,17,4,"Dube_2012-P","8:Dube_2012-P"
2,1,0,1,3,193,169,15,3,0,9,4,"Dube_2012-P","9:Dube_2012-P"
10,0,2,0,2,186,189,5,2,0,2,2,"Dube_2012-P","10:Dube_2012-P"
15,11,1,2,12,159,171,22,2,0,3,2,"Dube_2012-P","11:Dube_2012-P"
7,58,1,0,20,114,67,132,0,0,1,0,"Dube_2012-P","12:Dube_2012-P"
45,24,1,5,20,105,174,22,2,0,2,0,"Dube_2012-P","13:Dube_2012-P"
7,10,2,1,21,159,123,50,2,3,17,5,"Dube_2012-P","14:Dube_2012-P"
73,14,3,1,8,101,175,6,2,1,3,13,"Dube_2012-P","15:Dube_2012-P"
5,3,1,0,2,189,157,23,0,1,7,12,"Dube_2012-P","16:Dube_2012-P"
38,0,1,0,0,161,189,0,0,0,0,11,"Dube_2012-P","17:Dube_2012-P"
3,27,28,40,39,63,25,80,66,23,6,0,"Dube_2012-P","18:Dube_2012-P"
10,33,6,3,27,121,38,152,7,1,0,2,"Dube_2012-P","19:Dube_2012-P"
11,25,2,6,22,134,116,47,8,2,20,7,"Dube_2012-P","20:Dube_2012-P"
24,9,4,1,10,152,180,9,1,1,6,3,"Dube_2012-P","21:Dube_2012-P"
2,3,15,10,16,154,88,55,44,6,4,3,"Dube_2012-P","22:Dube_2012-P"
17,0,1,4,2,176,190,2,0,5,2,1,"Dube_2012-P","23:Dube_2012-P"
3,16,2,2,30,147,103,84,1,0,11,1,"Dube_2012-P","24:Dube_2012-P"
3,10,4,2,22,159,175,18,3,2,2,0,"Dube_2012-P","25:Dube_2012-P"
0,51,0,0,27,122,11,155,0,0,29,5,"Dube_2012-P","26:Dube_2012-P"
22,7,1,0,15,155,190,7,0,1,1,1,"Dube_2012-P","27:Dube_2012-P"
