model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,Dn,0.7848445501418808,0.027051173584032525,0.4962848488751567,0.5832170134088521,0.927695455647338,0.9587888640146401
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,Do,0.7190230199368248,0.04277938956951457,0.2303460207433392,0.4765969810784896,0.935864339057667,0.9648465412772689
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,g,0.30638217902633524,0.03352706037373157,0.07231008870462503,0.09821503303038522,0.4783228411918071,0.670785981226143
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_1,0.4734762344789831,0.059256469107659436,0.03232748192698742,0.1031091765799087,0.8641284061234005,0.9708426625005124
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_2,0.7421815291857075,0.05227292000690591,0.15624999994655472,0.33664116558476564,0.9777735097627278,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_6,0.2729787118531829,0.06019313362003097,0,0,0.714285714512675,0.8841856406533589
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_1,0.7369768323713514,0.06372512470888744,0.14118780245234852,0.2234128249264576,1,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_2,0.8836232245606601,0.031444127161612434,0.6256841708484921,0.6649851840643046,1,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_6,0.9358942590205569,0.01734706345152779,0.7256090846617648,0.8475804957462418,1,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,Dn,0.7848445501418808,0.027051173584032525,0.4962848488751567,0.5832170134088521,0.927695455647338,0.9587888640146401
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,Do,0.7190230199368248,0.04277938956951457,0.2303460207433392,0.4765969810784896,0.935864339057667,0.9648465412772689
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,g,0.30638217902633524,0.03352706037373157,0.07231008870462503,0.09821503303038522,0.4783228411918071,0.670785981226143
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_1,0.48063143352520965,0.05746675169471512,0.03362058120406692,0.10373101189530473,0.8615154908561666,0.970638364211018
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_2,0.7358573455650728,0.050695652238823316,0.1624999999444169,0.3478842847696787,0.9760170298384416,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_6,0.2976733637995065,0.05111305281936287,0,0,0.6857142858047921,0.8494413328493662
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,r_1,0.7710182187430517,0.05644522661679247,0.14887555305723002,0.28488335707627266,1,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,r_2,0.8614493021484569,0.04301881459890598,0.3813333334168388,0.6314382945803464,1,1
dubep_orig.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,r_6,0.932353604836656,0.016358471956233436,0.7339684402608475,0.8394978166527858,1,1
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,Dn,0.8214823120416462,0.02628392255780203,0.7699667704559143,0.787798109939042,0.8551665141442505,0.8729978536273781
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,Do,0.7206805853335687,0.022732223771293004,0.6761262454533291,0.691548068371158,0.7498131022959794,0.7652349252138083
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,g,0.3661842761490808,0.050941640864296166,0.2663404947416864,0.3008999365480312,0.43146861575013035,0.46602805755647514
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_1,0.45920502091232895,0.016117240752048817,0.42761580950815203,0.4385499457942815,0.4798600960303764,0.4907942323165059
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_2,0.7710219915966282,0.015112646331041773,0.741401749076695,0.7516543560315597,0.7903896271616967,0.8006422341165614
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_6,0.2747875353202452,0.02375985530891829,0.22821907463688254,0.24433805555198776,0.3052370150885026,0.3213559960036078
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,r_1,0.7618179384490316,0.011930386729131024,0.7384348101383001,0.7465285326587612,0.777107344239302,0.785201066759763
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,r_2,0.887050007702489,0.015822431278548467,0.856038612248674,0.8667727461267434,0.9073272692782346,0.918061403156304
dubep_orig.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,r_6,0.9675082999540872,0.02091178254304441,0.9265219593171867,0.9407087722977203,0.994307827610454,1.0084946405909876
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,Dn,0.7191028030450812,0.030319468764779894,0.6554994478719812,0.6794145910430738,0.7567771801434903,0.7726462548828784
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,Do,0.7341581759897627,0.017489735466612442,0.6981143646157224,0.7107023855037105,0.756229695095422,0.7646445728635799
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,g,0.28777165282514744,0.026632239393515788,0.2366453074013699,0.253831547301102,0.32232639157513837,0.3408322677874471
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_1,0.49228927951594853,0.017363445082866063,0.45785010032941653,0.4697426784386079,0.5142644769030162,0.5260487302388605
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_2,0.7396165169935204,0.017850724012618602,0.7053112409247119,0.7167792739473591,0.7625296123608485,0.775027319115262
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_6,0.36644318101945483,0.026855804135342047,0.31468532099776136,0.3321512574388424,0.40142905801335393,0.4197623798077776
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,r_1,0.7761246658064386,0.01863969864079222,0.7390017254710363,0.7532723124016978,0.7999241041469756,0.8133728199120888
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,r_2,0.8022555467414768,0.027721302577483564,0.7457205177926065,0.7663697771559742,0.8375810176469418,0.8540786694764433
dubep_orig.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,r_6,0.9091920806018836,0.012554963488057694,0.8791131660299107,0.8927040237324819,0.9234403558572838,0.9301235431392175
dubep_orig.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,Dn,0.8151569159273842,0.023206224495972403,0.763175656253152,0.7837257490452628,0.8430175868518677,0.8532664447099907
dubep_orig.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,Do,0.7226466378282611,0.01795155685398877,0.6876765733017924,0.6983997266907688,0.7455430344970133,0.7557902016789775
dubep_orig.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,g,0.3590036120135269,0.04039952600834103,0.28014542150933713,0.30540837597294707,0.41213197239956406,0.43281561164994625
dubep_orig.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,q_1,0.45944303907702944,0.016133787111952888,0.42828857785623664,0.4387501888778647,0.4803518111874248,0.49157846392811166
