model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,Dn,0.7941048871193149,0.028374748363303705,0.48840905383162636,0.5855747566216504,0.9467790378652575,0.9612825783338719
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,Do,0.7120964040713897,0.04426499738178532,0.23034602073855628,0.41540627152192067,0.9358643552413015,0.9658290449559996
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,g,0.31680003944257146,0.030960890708905456,0.08230683255634202,0.09821552043190712,0.4843922355538331,0.6147204471295992
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_1,0.47331206522782465,0.05923589273013156,0.03232728309750702,0.10310917112784734,0.8641283423914112,0.9708426626781964
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_2,0.7417077120230253,0.052189707973953656,0.15625000000001207,0.33664159845447594,0.9777735047895364,1
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_6,0.27259878462592435,0.06017865185338086,0,0,0.7142857142846147,0.8841856406558106
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_1,0.7396462939365297,0.05977915823690142,0.15067461169468438,0.2541787303248659,1,1
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_2,0.8684801637403644,0.0787089604182686,0.23051115792253718,0.6412202280810331,1,1
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_5,0.7224279930898013,0.10862251399315964,0.09350771444175861,0.33700533517056713,1,1
dubep_qrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_6,0.939926159888661,0.01737639480671432,0.7551461272283946,0.8844275527090272,1,1
