model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,Dn,0.7347369836211602,0.04002248837480209,0.311348954803835,0.45779751496751103,0.9248395119456765,0.9488877083765301
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,Do,0.7315253084606711,0.0411777259718594,0.23107500000000006,0.5064790095560295,0.9285000000012447,0.9655722224444971
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,g,0.28397830302085175,0.035214819269428564,0.053422199281255675,0.07540491381992194,0.4807188833306174,0.6877149302043515
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_1,0.4729772387868594,0.05904442377253382,0.03232767821359839,0.10306685456786334,0.855263152091398,0.9731241231264578
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_2,0.7523008554008405,0.06154896989142387,0,0.26393884502625053,0.9951426332868597,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_5,0.7463465542540584,0.0651668429066372,0.10862055005543612,0.3098017113752106,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,q_6,0.2784214122105053,0.05767572436384722,0,0,0.7051211348536196,0.8779069767441855
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_1,0.7754999297071599,0.055936544695593456,0.20939875141919984,0.3626206845740678,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_2,0.8731807077864664,0.04014396917186267,0.4691948505201269,0.6466788240412376,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,PB/MLE,Dube_2012-P,r_6,0.9192412136298176,0.021981683994235286,0.6852375513499096,0.8126559880445471,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,Dn,0.7347369836211602,0.04002248837480209,0.311348954803835,0.45779751496751103,0.9248395119456765,0.9488877083765301
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,Do,0.7315253084606711,0.0411777259718594,0.23107500000000006,0.5064790095560295,0.9285000000012447,0.9655722224444971
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,g,0.28397830302085175,0.035214819269428564,0.053422199281255675,0.07540491381992194,0.4807188833306174,0.6877149302043515
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_1,0.48015091944218713,0.05726661661091744,0.03362078534214232,0.10368022548849525,0.8508771861187511,0.9730110833165957
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_2,0.7091782618870769,0.061971861547386625,0,0.09999999945348835,0.9902852665737194,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_5,0.7171289409614521,0.05785270823644665,0.1344825857829209,0.29890133934813545,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,q_6,0.29667109583373374,0.0509392944436023,0,0,0.6857142358411017,0.8488372093023251
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,r_1,0.794436368113779,0.05075031065100804,0.21174102173512804,0.3849399591645567,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,r_2,0.8374177320212063,0.04776887649301107,0.2255402084260327,0.5545605456181657,1,1
dubep_rrest.eqn,Dube_2012-P.csv,no,MPTinR,asymptotic,Dube_2012-P,r_6,0.9246164325363634,0.01986255056368393,0.7061449954707109,0.8179346711016845,1,1
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,Dn,0.7705350083643538,0.03680203100846262,0.6984043530298408,0.7233713079102376,0.8176987088184701,0.8426656636988669
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,Do,0.7524367227294946,0.01599723880720428,0.7210827108152877,0.7319354362917311,0.7729380091672581,0.7837907346437014
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,g,0.2848816715106599,0.04403089401342602,0.19858270503724465,0.2284538103554254,0.3413095326658944,0.3711806379840752
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_1,0.4592050209204986,0.016117240752004075,0.4276158095164093,0.4385499458025085,0.47986009603848867,0.49079423232458785
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_2,0.7988394584139161,0.01763014486385298,0.7642850094385405,0.7762455186628673,0.821433398164965,0.8333939073892918
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_5,0.7148437499998171,0.028218051838328748,0.6595373846828085,0.6786808614897882,0.7510066385098461,0.7701501153168258
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,q_6,0.27478753541074635,0.02375985531580028,0.22821907471389524,0.24433805563366928,0.3052370151878234,0.32135599610759746
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,r_1,0.7818265195574927,0.017067890826399527,0.7483740682456881,0.7599531373483761,0.8036999017666093,0.8152789708692973
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,r_2,0.8913819504038099,0.017068164957432526,0.8579289618050535,0.8695082168816387,0.913255683925981,0.9248349390025662
dubep_rrest.eqn,Dube_2012-P.csv,complete,MPTinR,asymptotic,Dube_2012-P,r_6,0.9382724384767123,0.013490581064445104,0.9118313854598818,0.9209835631934663,0.9555613137599582,0.9647134914935427
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,Dn,0.6998294406065907,0.03210658132281337,0.6324554987626977,0.6573812758960601,0.7397361850524332,0.7575289151058354
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,Do,0.7449005433474483,0.01627096595407682,0.7106612782927613,0.7231573886984595,0.7649615358080406,0.7724744896660988
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,g,0.27221807263641096,0.026170651047386233,0.2229207805899433,0.2386446160318227,0.3063567340140379,0.3242351882793361
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_1,0.4940727791559215,0.017350446904653097,0.45938027635864276,0.471549114197707,0.5161191027292451,0.5276302212350087
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_2,0.7309602353888989,0.022266462286265193,0.6874897095343393,0.7022664620866805,0.7592902190272609,0.7745837088625517
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_5,0.6848601788642161,0.02929100781846488,0.6266783798023233,0.6471103884740015,0.7223182876648954,0.7404379121485954
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,q_6,0.36893272692121254,0.027093349737030696,0.3162003465933756,0.3341846155117093,0.40383521260173433,0.42287543497716135
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,r_1,0.7842658100321229,0.02064186216251383,0.7433400163983166,0.7589920264908685,0.8105256915725192,0.8253929749907867
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,r_2,0.8077720945710827,0.027330370760068452,0.7523053751390428,0.7720873198485512,0.8424119897663644,0.8591101630605604
dubep_rrest.eqn,Dube_2012-P.csv,no,TreeBUGS,simple,Dube_2012-P,r_6,0.9030070507350242,0.011354416391935533,0.8743999966614006,0.8887984290437063,0.9154999277555196,0.9212139517593044
dubep_rrest.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,Dn,0.7589127747355517,0.04730494217679201,0.6603121118366633,0.7081679365394329,0.8095457452922546,0.8279077637567829
dubep_rrest.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,Do,0.7529205855311801,0.01704481174961482,0.715148700114217,0.7308752035111854,0.7727001269149438,0.7835208776363448
dubep_rrest.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,g,0.2802345855466832,0.04672464136195516,0.19424707044640913,0.2252093694842256,0.34038324085579624,0.3767132642624142
dubep_rrest.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,q_1,0.4593621703303384,0.016112133745742337,0.4278013778610394,0.4386785384797408,0.4800950214888671,0.49141520512075493
dubep_rrest.eqn,Dube_2012-P.csv,complete,TreeBUGS,simple,Dube_2012-P,q_2,0.800745364117023,0.018352884591675417,0.7642047562078951,0.7771081052549252,0.8238095594169775,0.8370594232337473
