"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
33,9,7,4,14,133,86,29,23,10,8,44,"Dube_2012-W","1:Dube_2012-W"
6,35,8,6,41,104,33,112,7,4,35,9,"Dube_2012-W","2:Dube_2012-W"
8,22,57,5,23,85,23,58,77,6,17,19,"Dube_2012-W","3:Dube_2012-W"
13,59,1,0,16,111,27,109,3,1,18,42,"Dube_2012-W","4:Dube_2012-W"
22,40,26,30,36,46,32,52,28,46,28,14,"Dube_2012-W","5:Dube_2012-W"
3,29,16,12,64,76,18,101,45,12,24,0,"Dube_2012-W","6:Dube_2012-W"
3,6,28,19,16,128,25,32,68,25,29,21,"Dube_2012-W","7:Dube_2012-W"
126,0,1,0,0,73,167,0,0,1,0,32,"Dube_2012-W","8:Dube_2012-W"
2,15,23,17,27,116,33,96,33,15,18,5,"Dube_2012-W","9:Dube_2012-W"
6,42,9,10,42,91,27,79,24,9,32,29,"Dube_2012-W","10:Dube_2012-W"
18,28,27,10,39,78,31,56,45,19,27,22,"Dube_2012-W","11:Dube_2012-W"
13,24,5,25,36,97,70,63,23,21,16,7,"Dube_2012-W","12:Dube_2012-W"
26,34,18,12,19,91,104,58,12,14,8,4,"Dube_2012-W","13:Dube_2012-W"
13,23,16,5,31,112,82,64,33,9,12,0,"Dube_2012-W","14:Dube_2012-W"
21,35,0,2,22,120,59,32,1,0,29,79,"Dube_2012-W","15:Dube_2012-W"
0,36,2,4,73,85,5,134,1,2,52,6,"Dube_2012-W","16:Dube_2012-W"
10,37,34,6,34,79,21,75,54,11,19,20,"Dube_2012-W","17:Dube_2012-W"
70,4,1,1,3,121,112,8,1,2,2,75,"Dube_2012-W","18:Dube_2012-W"
27,40,17,11,20,85,27,48,32,8,20,65,"Dube_2012-W","19:Dube_2012-W"
17,37,16,3,33,94,39,69,30,1,33,28,"Dube_2012-W","20:Dube_2012-W"
8,58,18,14,34,68,33,90,22,7,37,11,"Dube_2012-W","21:Dube_2012-W"
15,30,5,3,29,118,61,62,9,14,38,16,"Dube_2012-W","22:Dube_2012-W"
