model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,Dn,0.27421474009165464,0.045459484808136774,0.0067679449401167454,0.032750745086412916,0.5778365831985806,0.6415857658972995
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,Do,0.4234248995020258,0.03666188717000724,0.1494280739704268,0.185296149538151,0.6383830461247126,0.6904192542282247
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,g,0.4199719413753863,0.034297132723869396,0.18704444663150877,0.21449843235821875,0.6308859601583623,0.6702665615997065
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_1,0.28073599508451924,0.056827148603901194,0.026249999999989965,0.06435805763522079,0.6374342055508853,0.9647327414001499
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_2,0.649000308230503,0.04931509421692615,0.20996109766077403,0.4196496049467515,0.9438501702664263,0.9869229251638159
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_6,0.38625282684440676,0.06287856703502766,0,0.10348018431829067,0.7458212646526674,0.9676647221012579
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_1,0.5018488454951615,0.09198484861371581,0.07143841593002104,0.25997977609577255,0.9507531322291366,0.9926718191264157
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_2,0.846071274823055,0.06524740855685317,0.24692670109530868,0.4799975859742429,1,1
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_6,0.8904446277139978,0.029095153081564105,0.6259681996065497,0.7295826313196961,1,1
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,Dn,0.27421474009165464,0.045459484808136774,0.0067679449401167454,0.032750745086412916,0.5778365831985806,0.6415857658972995
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,Do,0.4234248995020258,0.03666188717000724,0.1494280739704268,0.185296149538151,0.6383830461247126,0.6904192542282247
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,g,0.4199719413753863,0.034297132723869396,0.18704444663150877,0.21449843235821875,0.6308859601583623,0.6702665615997065
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_1,0.28073599508451924,0.056827148603901194,0.026249999999989965,0.06435805763522079,0.6374342055508853,0.9647327414001499
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_2,0.649000308230503,0.04931509421692615,0.20996109766077403,0.4196496049467515,0.9438501702664263,0.9869229251638159
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_6,0.38625282684440676,0.06287856703502766,0,0.10348018431829067,0.7458212646526674,0.9676647221012579
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_1,0.5010852712445537,0.07154290004115883,0,0.06548823106210765,0.9973352069550603,1
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_2,0.8093708436753666,0.06313470669775274,0.11318157833022276,0.3299564942688817,1,1
dubew_orig.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_6,0.8979200822816191,0.026115328594004537,0.6389835983391821,0.735402743029481,1,1
dubew_orig.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,Dn,0.18521463681503159,0.033805747677403755,0.11895658889687165,0.14189082795464905,0.22853844567541412,0.2514726847331915
dubew_orig.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,Do,0.4901509984408283,0.015682168234034684,0.45941451350262225,0.47005349118936735,0.5102485056922893,0.5208874833790343
dubew_orig.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,g,0.3589902484743693,0.015730071433360072,0.3281598749907412,0.3388313508028183,0.37914914614592027,0.3898206219579974
dubew_orig.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_1,0.31988873438878795,0.012300138861604389,0.29578090521520184,0.3041254721742829,0.33565199660329303,0.34399656356237407
dubew_orig.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_2,0.6668608036149725,0.011374840465908649,0.6445665259719027,0.6522833590080671,0.6814382482218778,0.6891550812580423
dubew_orig.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_6,0.4257964258128782,0.013783029259171709,0.39878218486703987,0.40813276308783963,0.44346008853791674,0.4528106667587165
