model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,Dn,0.24917448667241981,0.04416115863602349,0.008328741940275013,0.03393844860929969,0.5630199536831542,0.6395225648513696
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,Do,0.4436249317566402,0.037837100839343,0.14231477699611392,0.18529665605811685,0.6771733991038059,0.6894510829471177
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,g,0.4001082273632726,0.0315942978360381,0.1963740095476655,0.20928358258784796,0.6171914605186477,0.6688823173777652
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_1,0.28142354556681837,0.05696021067388249,0.026250000010979196,0.0643579532775928,0.6454745182136977,0.964732706284253
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_2,0.64763953387854,0.04927382644909317,0.20880681806765022,0.4064121834565109,0.9473804687684412,0.9881474015142174
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_6,0.3863960362029722,0.06286483774089892,0,0.10335006072256421,0.7457686544257216,0.9676646493075186
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_1,0.43168683542284264,0.07091286344505807,0,0.02204479486856651,0.7457751226097173,0.8946641899773813
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_2,0.7588858442573154,0.11900842733264518,0.06751918157610702,0.27007672630442814,1,1
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_5,0.9124048507475265,0.041551671422491734,0.7297856032782757,0.7372875935755036,1,1
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_6,0.8653940798762985,0.027732182327559834,0.6204130582032065,0.7195417499989113,0.9796700914690343,0.9954719262307792
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,Dn,0.24917448667241981,0.04416115863602349,0.008328741940275013,0.03393844860929969,0.5630199536831542,0.6395225648513696
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,Do,0.4436249317566402,0.037837100839343,0.14231477699611392,0.18529665605811685,0.6771733991038059,0.6894510829471177
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,g,0.4001082273632726,0.0315942978360381,0.1963740095476655,0.20928358258784796,0.6171914605186477,0.6688823173777652
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_1,0.28142354556681837,0.05696021067388249,0.026250000010979196,0.0643579532775928,0.6454745182136977,0.964732706284253
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_2,0.64763953387854,0.04927382644909317,0.20880681806765022,0.4064121834565109,0.9473804687684412,0.9881474015142174
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_6,0.3863960362029722,0.06286483774089892,0,0.10335006072256421,0.7457686544257216,0.9676646493075186
dubew_qrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_1,0.4992010689712472,0.06448368980676956,0,0.06156062626400985,0.90252978164279,0.9860098250466607
