model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,Dn,0.2521833226341465,0.0431434088005654,0.01418021150038045,0.02565633124191108,0.5560319148936093,0.5942490612837492
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,Do,0.44565467412376125,0.03469864122442066,0.17051738859364468,0.24181098308134513,0.6453303872322825,0.6895100384520575
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,g,0.4010130910088336,0.03173523963358387,0.18588082345093213,0.2284108680833003,0.6037945119181628,0.6703382243215501
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_1,0.28069544223361226,0.05666858607450846,0.026249999999999985,0.06438659011422518,0.6273384667897162,0.9644327000796331
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_2,0.6471056775941574,0.05530356439052769,0.09359231250320736,0.2901065957844289,0.9446466203153489,0.9877906976744186
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_5,0.6586281672794004,0.05410467751527259,0.19680851100773047,0.39857651245554704,0.9649829563066006,0.9852941176100132
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,q_6,0.38513857023197917,0.06277848922764563,0,0.10350610517251342,0.7458477467645785,0.9673749850586311
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_1,0.5348834536670907,0.0994655634958923,0.10066326905493883,0.25048579046413744,0.9973351958529478,1
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_2,0.7990581342885756,0.07189592808759777,0.20212688598672082,0.37719902575959724,1,1
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,PB/MLE,Dube_2012-W,r_6,0.8594369365450905,0.02862307892356727,0.6206086284728448,0.7132584875011395,1,1
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,Dn,0.2521833226341465,0.0431434088005654,0.01418021150038045,0.02565633124191108,0.5560319148936093,0.5942490612837492
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,Do,0.44565467412376125,0.03469864122442066,0.17051738859364468,0.24181098308134513,0.6453303872322825,0.6895100384520575
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,g,0.4010130910088336,0.03173523963358387,0.18588082345093213,0.2284108680833003,0.6037945119181628,0.6703382243215501
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_1,0.28069544223361226,0.05666858607450846,0.026249999999999985,0.06438659011422518,0.6273384667897162,0.9644327000796331
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_2,0.6471056775941574,0.05530356439052769,0.09359231250320736,0.2901065957844289,0.9446466203153489,0.9877906976744186
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_5,0.6526139683150612,0.051936182667967776,0.20664893655811697,0.4028631584370011,0.9639045135871047,0.9845588234905138
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,q_6,0.38513857023197917,0.06277848922764563,0,0.10350610517251342,0.7458477467645785,0.9673749850586311
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_1,0.5017636814134085,0.08121600940873319,0,0.004388403371643695,1,1
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_2,0.7805028904140845,0.06553419606767169,0.07733875788843722,0.3222443381359982,1,1
dubew_rrest.eqn,Dube_2012-W.csv,no,MPTinR,asymptotic,Dube_2012-W,r_6,0.8699214735842911,0.025992327489147597,0.6323438156756593,0.717050002423805,1,1
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,Dn,0.20924794468485464,0.04097300617546066,0.12894232824261453,0.15673892447562443,0.26175696489408484,0.28955356112709474
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,Do,0.4813224627371039,0.01866787540893687,0.4447340992677067,0.4573986177813893,0.5052463076928185,0.5179108262065011
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,g,0.36990103033418414,0.01968304281048894,0.33132297531946575,0.34467619600572064,0.39512586466264765,0.4084790853489025
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_1,0.3198887343533405,0.012300138854775322,0.2957809051931391,0.3041254721475872,0.3356519965590938,0.34399656351354185
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_2,0.6574642126787509,0.015174682314913257,0.627722381864684,0.6380170748014319,0.6769113505560699,0.6872060434928178
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_5,0.6792963464139181,0.017169568232522463,0.645644611048071,0.6572926593658042,0.7013000334620321,0.7129480817797652
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,q_6,0.4257964257964351,0.013783029258911419,0.39878218485110695,0.40813276307173013,0.4434600885211401,0.4528106667417633
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,r_1,0.4493419119926544,0.04396358137038062,0.36317487587531233,0.39300031546049563,0.5056835085248131,0.5355089481099965
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,r_2,0.8811124407443192,0.035786019444211004,0.8109731314836155,0.835250811500981,0.9269740699876573,0.9512517500050228
dubew_rrest.eqn,Dube_2012-W.csv,complete,MPTinR,asymptotic,Dube_2012-W,r_6,0.8270540651791193,0.017769230499905853,0.7922270133663132,0.804281880013442,0.8498262503447965,0.8618811169919254
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,Dn,0.24704654878814059,0.02667841675288886,0.1958363575849469,0.2129262387699101,0.2815775238289136,0.30068683710523597
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,Do,0.4500685902445892,0.016534815757312405,0.41707339256290554,0.4289922944190966,0.4712922393803059,0.48200276614783816
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,g,0.39240805701247605,0.015258130556513198,0.3636678834922681,0.37304704378098247,0.41236289624766737,0.4236288637275917
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,q_1,0.2897313203903436,0.009609881394615374,0.2712374236568338,0.27736576690200715,0.30212393216251404,0.3087184001142972
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,q_2,0.6609566685930115,0.016173603628103696,0.6300186437566373,0.6405267541865217,0.68209246824895,0.693640165753882
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,q_5,0.6711343346246144,0.019103860686858154,0.6346351257848715,0.6469824168804951,0.695914640984794,0.709301850925549
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,q_6,0.397247765314505,0.011074874505468338,0.375680059347709,0.38324435280407293,0.4116120840993599,0.4193551794446332
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,r_1,0.49711270415445136,0.04213626905908556,0.4154273721108057,0.44386593080751224,0.5515519609545041,0.5811884188585329
dubew_rrest.eqn,Dube_2012-W.csv,no,TreeBUGS,simple,Dube_2012-W,r_2,0.7531567889312502,0.03416419763204198,0.6834297735317609,0.7084954016670533,0.7961060057086554,0.8173880669124095
