"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
4,59,19,34,48,116,29,148,36,30,25,10,"Heathcote_2006_e1","1:Heathcote_2006_e1"
4,4,11,47,46,168,134,78,53,13,0,1,"Heathcote_2006_e1","2:Heathcote_2006_e1"
20,57,37,33,47,81,30,83,65,46,50,4,"Heathcote_2006_e1","3:Heathcote_2006_e1"
17,47,19,48,75,74,45,103,41,56,28,7,"Heathcote_2006_e1","4:Heathcote_2006_e1"
7,40,34,38,35,124,67,120,56,29,4,3,"Heathcote_2006_e1","5:Heathcote_2006_e1"
11,26,15,44,23,160,94,73,51,40,12,7,"Heathcote_2006_e1","6:Heathcote_2006_e1"
6,29,38,67,62,78,30,90,77,63,18,2,"Heathcote_2006_e1","7:Heathcote_2006_e1"
10,46,28,16,19,156,69,101,46,33,10,19,"Heathcote_2006_e1","8:Heathcote_2006_e1"
16,28,28,49,40,118,73,58,57,50,27,15,"Heathcote_2006_e1","9:Heathcote_2006_e1"
17,26,14,23,25,174,121,106,21,22,9,1,"Heathcote_2006_e1","10:Heathcote_2006_e1"
34,27,28,40,43,106,88,70,53,32,28,8,"Heathcote_2006_e1","11:Heathcote_2006_e1"
9,5,17,21,32,196,85,81,46,48,17,3,"Heathcote_2006_e1","12:Heathcote_2006_e1"
18,57,60,42,27,75,33,100,68,31,20,28,"Heathcote_2006_e1","13:Heathcote_2006_e1"
40,46,18,19,24,133,59,67,42,23,30,59,"Heathcote_2006_e1","14:Heathcote_2006_e1"
21,45,34,68,38,73,50,87,66,60,13,4,"Heathcote_2006_e1","15:Heathcote_2006_e1"
8,28,43,52,37,111,57,96,57,48,13,6,"Heathcote_2006_e1","16:Heathcote_2006_e1"
