model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,Dn,0.4701579457086256,0.05772785986888984,0.021115387867349268,0.19807939599515703,0.7268269816159725,0.8509959090281234
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,Do,0.4608886864542491,0.04514289483889296,0.17346038429966537,0.29438108681481723,0.7111983419660586,0.8198139129852797
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,g,0.4828848427478765,0.017613925823060143,0.36591164304747104,0.3909880129619815,0.5655819439254798,0.5910349760328358
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_1,0.19706768387567902,0.025331737473362124,0.0613097226864024,0.08430576695418848,0.33784310567522957,0.38030426893713776
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_2,0.426605084844868,0.03300172176893367,0.1841133005011244,0.28173981191216,0.5874783075448005,0.6372156877437498
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_6,0.14124833468532597,0.03501519365824104,0.02677898950530245,0.03562897262224422,0.3331222745299133,0.46284314622618206
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_1,0.37079773191073967,0.03582341400207382,0.17567151349691057,0.19589686367674805,0.5129203202967644,0.5215108401393106
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_2,0.7786967750820348,0.035213526799062096,0.6096553843694261,0.6281880043959898,0.9341957210419831,0.9792675448378705
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_6,0.8723948462175497,0.03248320971043036,0.6113670039373175,0.6819963746413474,1,1
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,Dn,0.4701579457086256,0.05772785986888984,0.021115387867349268,0.19807939599515703,0.7268269816159725,0.8509959090281234
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,Do,0.4608886864542491,0.04514289483889296,0.17346038429966537,0.29438108681481723,0.7111983419660586,0.8198139129852797
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,g,0.4828848427478765,0.017613925823060143,0.36591164304747104,0.3909880129619815,0.5655819439254798,0.5910349760328358
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_1,0.19706768387567902,0.025331737473362124,0.0613097226864024,0.08430576695418848,0.33784310567522957,0.38030426893713776
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_2,0.426605084844868,0.03300172176893367,0.1841133005011244,0.28173981191216,0.5874783075448005,0.6372156877437498
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_6,0.14124833468532597,0.03501519365824104,0.02677898950530245,0.03562897262224422,0.3331222745299133,0.46284314622618206
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_1,0.3244480154218972,0.04444907520606233,0,0.08328187712256863,0.5101452194436209,0.5211828498753972
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_2,0.736866034335911,0.04715195615479379,0.3556928607041241,0.6133884439306665,0.9328543148897245,0.9760779363513892
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_6,0.8723948462175497,0.03248320971043036,0.6113670039373175,0.6819963746413474,1,1
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,Dn,0.5122134284735952,0.020757271118704904,0.47152992466360016,0.4856119151749852,0.5388149417722052,0.5528969322835903
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,Do,0.4288189524954369,0.019112742683260495,0.3913586651904649,0.40432498718785326,0.4533129178030205,0.46627923980040886
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,g,0.5073538665918378,0.017646865210430553,0.47276664633936105,0.48473849885445597,0.5299692343292196,0.5419410868443145
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,q_1,0.1928286852589638,0.011136451164623421,0.17100164206071275,0.17855674883432965,0.20710062168359794,0.21465572845721484
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,q_2,0.4502833590932393,0.01129274763776054,0.42814998043672886,0.4358111206787672,0.4647555975077114,0.47241673774974974
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,q_6,0.16018099547511183,0.011033599206984745,0.13855553840957202,0.14604086913780887,0.1743211218124148,0.18180645254065164
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_1,0.37476555505784265,0.014373096276440844,0.34659480400969184,0.3563456910230466,0.3931854190926387,0.40293630610599346
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_2,0.7490034888616339,0.023261633355419104,0.7034115252634369,0.7191925062178721,0.7788144715053957,0.794595452459831
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_6,0.9076819600209793,0.03037999481871962,0.8481382643257754,0.8687484300998124,0.9466154899421463,0.9672256557161832
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,Dn,0.45171933578562057,0.019702406245963033,0.4118137136321007,0.4262933414160379,0.4768057697748871,0.48875722014043765
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,Do,0.4715109571833073,0.01362874774944833,0.4447758074404039,0.4540239754820581,0.488994093800767,0.49811967724470985
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,g,0.4686316205849984,0.01531578338823898,0.43787899965682486,0.44884504066665754,0.4879391731205894,0.4976477323997171
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,q_1,0.20691393039449996,0.01221792412997918,0.1839250773034654,0.19143818897136028,0.22276308782753332,0.23164699665492866
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,q_2,0.43235412578434945,0.01086390230325844,0.4113845429143937,0.4185101287426064,0.44641385379645065,0.45416716914541755
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,q_6,0.15791285956483259,0.010985885794504007,0.13731558840529098,0.143983502955117,0.17227303284830878,0.1804975413326758
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,r_1,0.3803835832580924,0.030308823777038814,0.326858878504843,0.3427616811567613,0.42086879705518254,0.44385022065842306
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,r_2,0.7242773392209079,0.03016429781096214,0.6639029588116978,0.6851601682006511,0.7625697486819534,0.7820212747290457
heathcote_orig.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,r_6,0.8340551938849166,0.01960378770492295,0.7941486593129682,0.8092702684747782,0.8588512476938743,0.8714117445283215
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,Dn,0.5117370010446174,0.020375643276543096,0.4712130250792983,0.4856235431238675,0.5377827185085977,0.5508405751988423
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,Do,0.4274440430857679,0.018910746993622333,0.3887214323049752,0.4024371369259376,0.4513699829792056,0.462647534830825
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,g,0.5078433360176033,0.017318798105291747,0.4748120435448497,0.4855999441491713,0.530256350430676,0.5424381823542773
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,q_1,0.19341501937921474,0.01103473450470831,0.172541895422902,0.17928704979787333,0.20756178226820432,0.2155089071459393
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,q_2,0.4507624837716906,0.011135956620132448,0.4287809912469791,0.4363533034628219,0.4649524672016584,0.4721042314068763
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,q_6,0.1610307892051488,0.011009494798534795,0.1400746396283317,0.14689458226705238,0.17520824976008437,0.18318678953210082
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,r_1,0.37505709899112943,0.014352913258980755,0.3479552437400727,0.3568243366462921,0.3936274294245915,0.40433466408923124
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,r_2,0.7488126584969009,0.023120557618313334,0.7055781805580158,0.7199197958634624,0.7786205920636402,0.7961087362725685
heathcote_orig.eqn,Heathcote_2006_e1.csv,complete,TreeBUGS,simple,Heathcote_2006_e1,r_6,0.910236463694247,0.030514326422948854,0.8560545118582569,0.8727451043276818,0.9515128323456115,0.9775169054749286
heathcote_orig.eqn,Heathcote_2006_e1.csv,partial,TreeBUGS,trait,Heathcote_2006_e1,Dn,0.47847153859693875,0.07214853746452343,0.3310359,0.38895949999999996,0.5677806,0.6256192500000001
heathcote_orig.eqn,Heathcote_2006_e1.csv,partial,TreeBUGS,trait,Heathcote_2006_e1,Do,0.4566492932397959,0.05753377105807084,0.33976442500000004,0.38342790000000004,0.5289347999999999,0.5707664750000001
heathcote_orig.eqn,Heathcote_2006_e1.csv,partial,TreeBUGS,trait,Heathcote_2006_e1,g,0.48528428010204083,0.020434232285431942,0.44797892500000003,0.4605228,0.5111622,0.5279710999999999
heathcote_orig.eqn,Heathcote_2006_e1.csv,partial,TreeBUGS,trait,Heathcote_2006_e1,q_1,0.1891484387372449,0.03262452756196303,0.129320825,0.149407,0.23119289999999998,0.25862202500000003
