model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,Dn,0.42484379698472213,0.054760376137848614,0.077275387917275,0.16852803854627618,0.6718660292841898,0.8571502918668357
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,Do,0.49563419840652845,0.04081819489629959,0.2641586495197187,0.3262180125088885,0.7151886543432358,0.8027221833084845
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,g,0.4484388425779941,0.024699472302188157,0.2958704901410312,0.3618978306416503,0.5592265049553569,0.6261428243628164
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_1,0.197645024567663,0.025539857342449134,0.061309722686267935,0.08430576695475286,0.34013404296681027,0.38364309542238184
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_2,0.43126338033803074,0.03329182127380626,0.1841133008024498,0.2817398123253444,0.5973684210534245,0.6428250216475431
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_6,0.1411787689887578,0.03496447544332885,0.02677899096097306,0.03562499999886819,0.3331222758055479,0.4621524485763101
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_1,0.3908838977917304,0.033522085195774605,0.1839252748570807,0.21963651363597803,0.5101638113141685,0.5202650171257226
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_2,0.8539202098850885,0.04210137691765825,0.5922920100011058,0.6352321851309761,1,1
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_5,0.7024178657525874,0.06659210649008698,0.5226774737942539,0.5412911524824064,0.8969333413357958,0.9115082818140023
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_6,0.8084798824244028,0.036431227393958335,0.5544836151155359,0.6230794043449027,0.9632981186110803,0.983368018404037
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,Dn,0.42484379698472213,0.054760376137848614,0.077275387917275,0.16852803854627618,0.6718660292841898,0.8571502918668357
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,Do,0.49563419840652845,0.04081819489629959,0.2641586495197187,0.3262180125088885,0.7151886543432358,0.8027221833084845
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,g,0.4484388425779941,0.024699472302188157,0.2958704901410312,0.3618978306416503,0.5592265049553569,0.6261428243628164
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_1,0.197645024567663,0.025539857342449134,0.061309722686267935,0.08430576695475286,0.34013404296681027,0.38364309542238184
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_2,0.43126338033803074,0.03329182127380626,0.1841133008024498,0.2817398123253444,0.5973684210534245,0.6428250216475431
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_6,0.1411787689887578,0.03496447544332885,0.02677899096097306,0.03562499999886819,0.3331222758055479,0.4621524485763101
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_1,0.3506713682887102,0.040579190942499746,0.051887746325676984,0.15412971417380503,0.5075550249853007,0.519806644805852
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_2,0.8059334622072615,0.04973324290189313,0.44978575508193513,0.565839100099246,1,1
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_5,0.5903716818836025,0.08666306791479012,0.03498712164108044,0.11055441392058152,1,1
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_6,0.8084798824244028,0.036431227393958335,0.5544836151155359,0.6230794043449027,0.9632981186110803,0.983368018404037
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,Dn,0.3577476159330909,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,Do,0.5422079238557014,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,g,0.3853320116436669,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,q_1,0.1928286852589275,0.011136451164621216,0.17100164206068078,0.17855674883429618,0.2071006216835588,0.2146557284571742
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,q_2,0.4502833590930723,0.011292747637751194,0.4281499804365802,0.43581112067861216,0.4647555975075325,0.47241673774956444
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,q_6,0.16018099547513348,0.011033599206985843,0.13855553840959153,0.1460408691378291,0.17432112181243786,0.18180645254067543
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_1,0.4533210091627945,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_2,0.9394414178158065,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_5,0.5380016659861859,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,complete,MPTinR,asymptotic,Heathcote_2006_e1,r_6,0.7513611802397289,NaN,NaN,NaN,NaN,NaN
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,Dn,0.4201879671781852,0.023251718457213234,0.37315190925181874,0.3903530047850576,0.44993698805537263,0.4645222734799663
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,Do,0.4948431760507994,0.01674281996250063,0.4617584876246463,0.47378314735319854,0.5164097075207745,0.527854714875826
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,g,0.4374669154598559,0.020904546163063777,0.3971778589060986,0.41013463955397533,0.4642566190036228,0.4778549433664693
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,q_1,0.20790394281630348,0.012273707059399386,0.18463234415968352,0.19214201504826223,0.2237814001705727,0.23290761185822983
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,q_2,0.4423610266904245,0.011053834665165234,0.42083319750099685,0.42831351659759,0.45667840681208155,0.4641740355975924
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,q_6,0.15780622740356343,0.010971106563298099,0.13715785227320557,0.1441500074844599,0.17210860693355293,0.1801956906773367
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,r_1,0.3907995194580237,0.030884564389882387,0.33453148849309206,0.35228401548242366,0.4313583903801445,0.45452363785076655
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,r_2,0.7594659614569269,0.03473493731896976,0.6911132869568537,0.7146459179194844,0.8038527413156347,0.8261273963941888
heathcote_qrest.eqn,Heathcote_2006_e1.csv,no,TreeBUGS,simple,Heathcote_2006_e1,r_5,0.5411879384354715,0.05099427523611185,0.4414455274144569,0.47598575848969316,0.6069762218017506,0.6414049567695594
