model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,Dn,0.3871674167231728,0.05879940983846651,0.029756837280433615,0.10354132917776651,0.6315000542176765,0.8192703258918029
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,Do,0.524116300683597,0.04444352727117129,0.20089160721554905,0.3332722620719859,0.7368100876592981,0.8330000590547142
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,g,0.41240419038918663,0.01634767934020623,0.2976465355262995,0.3317279319232528,0.48067259562094,0.5093460698742936
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_1,0.19742433126199438,0.02554800838965147,0.06130972266564831,0.08430576695468364,0.34013404297892774,0.3836430420868131
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_2,0.5371289063735782,0.03832863649506654,0.2420453163920921,0.3305162477293426,0.7154356046036712,0.7422876602781808
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_5,0.3026327053785886,0.03782817283280464,0.04545454545454547,0.14964715649647164,0.4937499963625157,0.5490860846937278
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,q_6,0.14132774798946637,0.03501321698639394,0.026778990416643514,0.035624999270125746,0.3343138723043834,0.46215246414181776
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_1,0.4355669446493479,0.055918913957722416,0.19282120286931193,0.19828733811306237,0.7160303160675475,0.7620339946911716
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_2,0.7422827045423197,0.04023782964738453,0.545502063234572,0.5617566683700586,0.9367821732944555,0.9815562220391219
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,PB/MLE,Heathcote_2006_e1,r_6,0.7783683045848897,0.03908007738058567,0.4832194796614216,0.5503585078003687,0.9502370467912116,0.9943834986960833
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,Dn,0.3871674167231728,0.05879940983846651,0.029756837280433615,0.10354132917776651,0.6315000542176765,0.8192703258918029
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,Do,0.524116300683597,0.04444352727117129,0.20089160721554905,0.3332722620719859,0.7368100876592981,0.8330000590547142
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,g,0.41240419038918663,0.01634767934020623,0.2976465355262995,0.3317279319232528,0.48067259562094,0.5093460698742936
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_1,0.19742433126199438,0.02554800838965147,0.06130972266564831,0.08430576695468364,0.34013404297892774,0.3836430420868131
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_2,0.5371289063735782,0.03832863649506654,0.2420453163920921,0.3305162477293426,0.7154356046036712,0.7422876602781808
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_5,0.3026327053785886,0.03782817283280464,0.04545454545454547,0.14964715649647164,0.4937499963625157,0.5490860846937278
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,q_6,0.14132774798946637,0.03501321698639394,0.026778990416643514,0.035624999270125746,0.3343138723043834,0.46215246414181776
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_1,0.45651754665778177,0.05339561987236385,0.19306484783240985,0.21109695760495978,0.7536278858493115,0.8631900892323439
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_2,0.719307825275463,0.044682564541238416,0.39457600497687517,0.5491705545729116,0.9324703461797397,0.9787187177374485
heathcote_rrest.eqn,Heathcote_2006_e1.csv,no,MPTinR,asymptotic,Heathcote_2006_e1,r_6,0.7783683045848897,0.03908007738058567,0.4832194796614216,0.5503585078003687,0.9502370467912116,0.9943834986960833
