model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,Dn,0.5570616254409273,0.04349493400679189,0.11327975373958138,0.361433413242616,0.7813331346381713,0.8688788520551805
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,Do,0.6687217689916957,0.03308000131834335,0.3466271897285257,0.4599212721888473,0.8289607477447498,0.8606148657137838
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,g,0.45602617842989557,0.023754214590794555,0.2735317722130238,0.31200521149553156,0.5828847856402941,0.6449995532320055
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_1,0.16791943443374824,0.029445752630002542,0.007333333377345251,0.030130007248841607,0.36936936936954423,0.4455827071585461
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_2,0.3710253086706564,0.03401513659601338,0.1278020055713669,0.17560102391633362,0.5830303030303002,0.6524732620068304
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_6,0.10763466447570802,0.025942142278727157,0,0,0.32083333333309705,0.36533669999213436
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_1,0.487793553883156,0.05500029555037937,0.12436702901999297,0.16075961600779234,0.7922740518480085,1
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_2,0.7114849031251907,0.023997629158171403,0.47333987664995075,0.5643187495399186,0.8220409086729714,0.860512672537345
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_6,0.7245621511493708,0.04193318230017997,0.30173573663306447,0.35218184790128665,0.8938677300870618,0.9578000142577184
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,Dn,0.5570616254409273,0.04349493400679189,0.11327975373958138,0.361433413242616,0.7813331346381713,0.8688788520551805
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,Do,0.6687217689916957,0.03308000131834335,0.3466271897285257,0.4599212721888473,0.8289607477447498,0.8606148657137838
heathcote2_orig.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,g,0.45602617842989557,0.023754214590794555,0.2735317722130238,0.31200521149553156,0.5828847856402941,0.6449995532320055
