model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,Dn,0.5584658029425547,0.033033942711519944,0.2924110855039178,0.32385545312768377,0.7169178786311058,0.8241104121218927
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,Do,0.6738617777538832,0.032699953271759535,0.3785031724697747,0.4325852552935841,0.8394215884479801,0.8598940439311841
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,g,0.44476844473060134,0.027425745464796383,0.2393062030667034,0.27294906614021963,0.6045431550832712,0.6471648136990327
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_1,0.16791967939294852,0.029445800174971726,0.007333333333333283,0.030129667410924644,0.36936936824639777,0.4455827070479429
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_2,0.3720522049199372,0.034129156569567505,0.12780184244692228,0.17560063355015534,0.5803921585070253,0.6586096256685811
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_6,0.10763466462698973,0.025942142286658382,0,0,0.32083333333352,0.3653367006412513
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_1,0.4638320599392747,0.05437063297011664,0.05824114549661763,0.1493724044885139,0.8235681002890374,0.8640413427640934
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_2,0.7685565910781762,0.03826687313261573,0.48877998636054065,0.5476871785607008,1,1
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_5,0.7076817552642498,0.054448683270107025,0.24367597536492125,0.574053707151786,0.9706122673644618,0.9958627669187763
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_6,0.7176831001192555,0.040952386936270804,0.3054276387058986,0.4252527882663498,0.8968289855148586,0.9261809633093212
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,Dn,0.5584658029425547,0.033033942711519944,0.2924110855039178,0.32385545312768377,0.7169178786311058,0.8241104121218927
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,Do,0.6738617777538832,0.032699953271759535,0.3785031724697747,0.4325852552935841,0.8394215884479801,0.8598940439311841
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,g,0.44476844473060134,0.027425745464796383,0.2393062030667034,0.27294906614021963,0.6045431550832712,0.6471648136990327
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_1,0.16791967939294852,0.029445800174971726,0.007333333333333283,0.030129667410924644,0.36936936824639777,0.4455827070479429
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_2,0.3720522049199372,0.034129156569567505,0.12780184244692228,0.17560063355015534,0.5803921585070253,0.6586096256685811
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_6,0.10763466462698973,0.025942142286658382,0,0,0.32083333333352,0.3653367006412513
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_1,0.4638320599392747,0.05437063297011664,0.05824114549661763,0.1493724044885139,0.8235681002890374,0.8640413427640934
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_2,0.7549374871536034,0.040587557049052404,0.37494408329968587,0.531613104733579,1,1
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_5,0.6981362448892122,0.04282353691210695,0.3097702346258691,0.585791103998847,0.9593057564431444,0.9946459336595929
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_6,0.7176831001192555,0.040952386936270804,0.3054276387058986,0.4252527882663498,0.8968289855148586,0.9261809633093212
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,Dn,0.4006622920285337,0.5307878972230703,-0.6396628699584317,-0.2795697686298187,1.0808943526868862,1.440987454015499
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,Do,0.7412017433017245,0.10585196237673491,0.5337357093504352,0.6055469952018517,0.8768564914015973,0.9486677772530137
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,g,0.3153998062801826,0.2794082025289091,-0.23223020766155233,-0.04267621309674374,0.673475825657109,0.8630298202219175
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_1,0.16389132339997325,0.010959051102344552,0.14241197793464397,0.1498467343028803,0.1779359124970662,0.18537066886530254
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_2,0.3692458374159284,0.010680173790557154,0.34831308143780776,0.3555586439743515,0.38293303085750535,0.3901785933940491
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_6,0.10599835661450138,0.008824161163295052,0.08870331854066602,0.09468973906106275,0.11730697416794002,0.12329339468833675
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,r_1,0.5881217354274205,0.5620273130889285,-0.5134315565546962,-0.13214524754052137,1.3083887183953624,1.6896750274095371
heathcote2_qrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,r_2,1,1.6960315591877857,-2.3241607726513727,-1.1735518998901568,3.173551899890157,4.324160772651372
