model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,Dn,0.508006760084235,0.044264550860312904,0.04660949246777363,0.2672209699043752,0.7286574305697507,0.811482391165421
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,Do,0.6908462791218143,0.031881574811782123,0.39091306744347354,0.47108835242782177,0.8431024958295708,0.8949060015779657
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,g,0.41003391215405044,0.026371051129485547,0.19974212838653124,0.249771452756984,0.5576097062106475,0.6115855041700858
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_1,0.16801586806514443,0.029498763869181214,0.007333333329297143,0.03012994417000006,0.3693693694068523,0.4465796725292119
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_2,0.4555319278673383,0.041370904231898785,0.1395762836096938,0.19717698068272974,0.7190274856069748,0.8161549452896546
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_5,0.2964429281034856,0.037064845410104165,0.05312220890506131,0.0728635682158999,0.5421579533189611,0.5776675101638301
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,q_6,0.10768494212284668,0.025963696061194457,0,0,0.3208333335219487,0.3659727110107247
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_1,0.5103721882094467,0.05829954992096688,0.1347860298224476,0.16414438532154021,0.8131753112169934,1
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_2,0.6916490518607767,0.021503807357223813,0.49672171055478254,0.5542681671161496,0.7769058507917093,0.8705172427707293
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,PB/MLE,Heathcote_2006_e2,r_6,0.7019725141652733,0.041549522075596895,0.2920230990283016,0.35257585725860574,0.8821961472875053,0.9183024768453303
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,Dn,0.508006760084235,0.044264550860312904,0.04660949246777363,0.2672209699043752,0.7286574305697507,0.811482391165421
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,Do,0.6908462791218143,0.031881574811782123,0.39091306744347354,0.47108835242782177,0.8431024958295708,0.8949060015779657
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,g,0.41003391215405044,0.026371051129485547,0.19974212838653124,0.249771452756984,0.5576097062106475,0.6115855041700858
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_1,0.16801586806514443,0.029498763869181214,0.007333333329297143,0.03012994417000006,0.3693693694068523,0.4465796725292119
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_2,0.4555319278673383,0.041370904231898785,0.1395762836096938,0.19717698068272974,0.7190274856069748,0.8161549452896546
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_5,0.2964429281034856,0.037064845410104165,0.05312220890506131,0.0728635682158999,0.5421579533189611,0.5776675101638301
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,q_6,0.10768494212284668,0.025963696061194457,0,0,0.3208333335219487,0.3659727110107247
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_1,0.5529485196694948,0.06071525967032612,0.13603502701504697,0.17780274081956843,1,1
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_2,0.6916490518607767,0.021503807357223813,0.49672171055478254,0.5542681671161496,0.7769058507917093,0.8705172427707293
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,MPTinR,asymptotic,Heathcote_2006_e2,r_6,0.7019725141652733,0.041549522075596895,0.2920230990283016,0.35257585725860574,0.8821961472875053,0.9183024768453303
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,Dn,0.5509893048960416,0.020621107123889898,0.5105726776118751,0.5245622927781576,0.5774163170139256,0.5914059321802081
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,Do,0.693999727861999,0.01108374284477881,0.672275991072329,0.679795339867179,0.7082041158568191,0.715723464651669
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,g,0.4210007991032713,0.01823838624539667,0.38525421892616313,0.3976273666574761,0.4443742315490665,0.4567473792803795
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_1,0.16389132340122609,0.010958888896738479,0.14241229585304277,0.14984694217898153,0.17793570462347064,0.1853703509494094
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_2,0.4381551362501505,0.016063788358556326,0.40667068961210634,0.41756856313066554,0.4587417093696355,0.4696395828881947
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_5,0.30882352941413965,0.014006680296222367,0.281370940490577,0.29087324635243317,0.32677381247584614,0.3362761183377023
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,q_6,0.10599835661493086,0.008824161246318735,0.08870331837837206,0.09468973895509308,0.11730697427476863,0.12329339485148966
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,r_1,0.47238874939247033,0.014877842000826329,0.4432287149031734,0.4533220276843861,0.49145547110055454,0.5015487838817673
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,r_2,0.6758124957715554,0.014598869326741884,0.6471992376761349,0.6571032919306883,0.6945216996124226,0.704425753866976
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,complete,MPTinR,asymptotic,Heathcote_2006_e2,r_6,0.7126435522318508,0.010780751235005671,0.691513668084954,0.6988274636088824,0.7264596408548193,0.7337734363787477
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,Dn,0.5020380886900048,0.023278276147521933,0.4549888024685125,0.4719911931015351,0.53131523707948,0.5461552157405711
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,Do,0.6854560632289163,0.012329722527224,0.6605655747523561,0.6693330500016295,0.7010135597876966,0.7092449187305805
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,g,0.4094458783919816,0.018037317111255884,0.3741226843322708,0.3863169860910353,0.432670359964043,0.44489909374032915
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,q_1,0.18729062624424156,0.011537891290162815,0.16528264406508728,0.17259597442605457,0.20226470980701683,0.2102934906664197
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,q_2,0.4640084220541542,0.014779243203393373,0.43472565933505253,0.4451220872925137,0.48256541643217987,0.4929787741593592
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,q_5,0.31302018489628203,0.01365035496871585,0.28646297968261614,0.2955917546658167,0.33056458681577905,0.3398394267125827
heathcote2_rrest.eqn,Heathcote_2006_e2.csv,no,TreeBUGS,simple,Heathcote_2006_e2,q_6,0.12568803152339392,0.009637825525848636,0.10748586398859852,0.11346427799383257,0.1381789347499589,0.14528950931983742
