model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Dn,0.5829924735251006,0.03051133018707469,0.01749999810601375,0.23346526524323732,0.8221300344973193,0.928405181892621
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Do,0.5917723877454433,0.027794662745969333,0.0952536231884169,0.316714428038368,0.8724414973785931,0.9317222371855631
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,g,0.4602803538981648,0.026191189985386856,0.108461516144745,0.15632883275065673,0.7403695894553444,0.8257979839354663
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_1,0.2544824674431544,0.04152935138685692,0,0,0.896551724138489,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_2,0.5035505318075725,0.03677694527442667,0,0.1350188138192087,0.9084939913840984,0.9813725490196078
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_6,0.3303775169788212,0.04330404153500548,0,0,0.9666666666664818,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_1,0.5099533118832286,0.04577875417811511,0,0.10837438423484368,1,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_2,0.7233071916830051,0.036647039934619666,0.031988775993280205,0.4347419392317534,1,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_6,0.7784416532262113,0.030631024869654716,0.24888740220200933,0.49341432569111404,1,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Dn,0.5802422867211814,0.03014881599892226,0.01833333134915724,0.23530252258342488,0.8220381188427951,0.9281705079274085
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Do,0.5917723877454433,0.027794662745969333,0.0952536231884169,0.316714428038368,0.8724414973785931,0.9317222371855631
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,g,0.4602803538981648,0.026191189985386856,0.108461516144745,0.15632883275065673,0.7403695894553444,0.8257979839354663
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_1,0.2696365418157917,0.04158372428124291,0,0,0.8843299869747049,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_2,0.49544495602522054,0.035463624821943644,0,0.14764018640732976,0.9000754670888174,0.9784313725490195
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_6,0.34267259963313873,0.04197714561084179,0,0,0.9453703703702064,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_1,0.5288722155655183,0.041638299749129824,0,0.11148590150835225,1,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_2,0.6999427760062306,0.0333888191081565,0.06315188450266364,0.35492757827915083,1,1
jaeger_orig.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_6,0.7878833990955982,0.02848095011143897,0.22535897696975157,0.49341432569111404,1,1
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,Dn,0.6221443163534691,0.026721989320495017,0.569770179690035,0.5878987091053226,0.6563899236016156,0.6745184530169033
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,Do,0.6274504406686509,0.01995898852292529,0.588331541995869,0.6018719676804092,0.6530289136568925,0.6665693393414327
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,g,0.43688469313516404,0.02864459943974593,0.3807423098816858,0.4001751618787596,0.47359422439156845,0.49302707638864224
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,q_1,0.2950819670279112,0.01619586140004809,0.26333866198521444,0.2743261354953362,0.31583779856048616,0.32682527207060785
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,q_2,0.4999999990075401,0.015811388327915725,0.4690102473392483,0.47973688954246607,0.5202631084726141,0.5309897506758319
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,q_6,0.2932692308838931,0.01822501755005743,0.25754885286817014,0.2699129311105392,0.316625530657247,0.3289896088996161
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_1,0.48461305773769475,0.014700256803308042,0.45580108383972107,0.46577392061750766,0.5034521948578818,0.5134250316356684
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_2,0.7355536117852565,0.01848348021690109,0.6993266562511717,0.7118660787765743,0.7592411447939387,0.7717805673193412
jaeger_orig.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_6,0.786996880707632,0.016831865855361918,0.7540070298385131,0.7654259766696562,0.8085677847456078,0.8199867315767508
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,Dn,0.5218843504040268,0.025607788650261018,0.4717711205556174,0.4886937951199094,0.5547834550417927,0.5718997951058336
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,Do,0.5981308815403746,0.018790959586333762,0.5596876664848008,0.5737390842716782,0.621905975908341,0.6335372293440165
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,g,0.42330755428719063,0.02136712329094529,0.38197028467904937,0.39622205335695293,0.4508906098187289,0.465090538840886
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,q_1,0.3160439931670305,0.013260437059614391,0.2904168737781291,0.2990475764600759,0.3329852211041613,0.3420501951301787
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,q_2,0.528408466405637,0.015824065694930674,0.49726058991508,0.508029124927362,0.5488625300423223,0.5594666889703371
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,q_6,0.3811883649355025,0.015798054595897868,0.35022484711672774,0.360869801132094,0.40138965745809313,0.41202893076629876
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,r_1,0.5050550097994329,0.021048145020224587,0.4643456445201505,0.4782223149802091,0.5319252355883111,0.5468956424998594
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,r_2,0.6682390674180099,0.021124061358504864,0.6264696273168153,0.6409436542234472,0.69538166824452885,0.7088717019000613
jaeger_orig.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,r_6,0.7294897335767117,0.015900164189608115,0.6972742758089682,0.7091282128069861,0.749659382273294,0.7599952445816764
