model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Dn,0.5945111022494834,0.023701964102699775,0.2630715494199768,0.3657011089883775,0.8925395181245112,0.9288443464600271
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Do,0.6126522339244023,0.026967926145673556,0.09772857698592094,0.3249300382298095,0.8356994594278585,0.9439536832312037
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,g,0.4375826913436808,0.02552130558856342,0.1293452500045196,0.1631459812371727,0.6787703142846215,0.8774532626391771
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_1,0.255699142674078,0.0415903967362474,0,0,0.8965517241379369,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_2,0.5071439584612486,0.036449496815204804,0,0.1766663424000849,0.9085603155712064,0.976315789473684
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_6,0.34142405033586787,0.043561524665657346,0,0,0.9666666666666646,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_1,0.47385381119121256,0.04104557199237153,0,0.1063152650692159,0.92372983301531,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_2,0.7486916699834161,0.04185448036864159,0.030487330558005486,0.3748266023937502,1,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_5,0.7011839172363139,0.04971220266757175,3.0891875764088486e-5,0.23096622058921984,1,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_6,0.7249462009978402,0.02715779561489165,0.2880312283175316,0.40199842439322897,0.9814569536404782,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Dn,0.5886996925240574,0.024035831608696854,0.23017193470331407,0.36406259201223196,0.8874764315143808,0.9287616296013175
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Do,0.6126522339244023,0.026967926145673556,0.09772857698592094,0.3249300382298095,0.8356994594278585,0.9439536832312037
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,g,0.4375826913436808,0.02552130558856342,0.1293452500045196,0.1631459812371727,0.6787703142846215,0.8774532626391771
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_1,0.27081459239347155,0.04163394633577641,0,0,0.884329986659359,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_2,0.49828701792659413,0.03459606578328566,0,0.18749978143954538,0.9000754672301937,0.9710526315789472
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_6,0.34386064595750643,0.041967152062350715,0,0,0.9453703703698086,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_1,0.501190677738428,0.03988711155522394,0,0.11064329762630049,1,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_2,0.7162049465724739,0.03674852152565599,0.00868421052783335,0.2951489772739868,1,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_5,0.6404107850238476,0.03957520298817726,0,0.17228446001655717,1,1
jaeger_qrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,r_6,0.739147512965891,0.026423332877195015,0.2909756154288335,0.4333356896411091,1,1
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,Dn,0.7031305114635736,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,Do,0.527432242739079,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,g,0.5560671320356647,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,q_1,0.29508196721311225,0.01619586140520731,0.26333866216030366,0.27432613567392544,0.31583779875229906,0.32682527226592084
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,q_2,0.49999999999956324,0.01581138830082085,0.46901024838437644,0.4797368905692127,0.5202631094299138,0.53098975161475
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,q_6,0.2932692307690815,0.018225017544796274,0.25754885276367023,0.26991293100247005,0.316625530535693,0.3289896087744928
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_1,0.46278296858349494,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_2,0.6999533092099253,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_5,1,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,r_6,0.88062359889787,NaN,NaN,NaN,NaN,NaN
jaeger_qrest.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,Dn,0.5224581307928804,0.02636090064478747,0.4699459042682845,0.48802050901829214,0.5556576054506323,0.5724607455403207
jaeger_qrest.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,Do,0.5942481314712458,0.019667626716625093,0.5552334049245851,0.5687975019605472,0.6194638717179372,0.6319231293995581
jaeger_qrest.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,g,0.42499415247063843,0.022041237829138503,0.38192464860814723,0.39654948514970284,0.45328005769578444,0.4674470643449237
jaeger_qrest.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,q_1,0.3165897120184936,0.013360131239904397,0.2906265481899476,0.2995735819278663,0.33380150814542553,0.34302814164907836
jaeger_qrest.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,Jaeger_2012,q_2,0.535795256410425,0.015517100265091528,0.5054386548346408,0.5157481704965741,0.5556056653934797,0.5663982904688591
