model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Dn,0.5719139918153158,0.028652917976417436,0.04604173696488255,0.2576161196277792,0.8368100391435123,0.9308334098923517
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Do,0.6007881001243923,0.0292341734117162,0,0.2922055743837321,0.8666451718312727,0.9386390504331793
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,g,0.4414256143492557,0.025898248552319505,0.1126982203612952,0.16209082223252583,0.7042683883920792,0.8118363331598496
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_1,0.25538762081334265,0.04158826060457918,0,0,0.8965516312972505,1
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_2,0.5692389629588311,0.03959348552524818,0,0.17080755456674876,1,1
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_5,0.43556949009661333,0.04019538822053282,0,0,0.8333335003923563,0.961111111096737
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,q_6,0.3302056586499132,0.04323410654164396,0,0,0.9666666959338812,1
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_1,0.5160897531921229,0.04994123818562254,0,0.12082544845860017,1,1
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_2,0.7183547657554888,0.033315499032421855,0.22107889055470184,0.4073788087295382,1,1
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,r_6,0.7565562579466942,0.029344991253438174,0.24428102570677374,0.4834725742489829,1,1
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Dn,0.5765178921858818,0.02856785679455474,0.046250074504967785,0.2621924764951794,0.8572539563579805,0.9307143582203372
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Do,0.6007881001243923,0.0292341734117162,0,0.2922055743837321,0.8666451718312727,0.9386390504331793
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,g,0.4414256143492557,0.025898248552319505,0.1126982203612952,0.16209082223252583,0.7042683883920792,0.8118363331598496
jaeger_rrest.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,q_1,0.2696542766394927,0.041494917726058574,0,0,0.8843299125806365,1
