"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
3,7,3,3,1,53,26,33,9,2,0,0,"Jang_2009","1:Jang_2009"
0,6,7,15,20,22,3,10,26,14,17,0,"Jang_2009","2:Jang_2009"
38,4,1,6,9,12,39,6,1,5,7,12,"Jang_2009","3:Jang_2009"
0,21,11,4,13,21,6,29,14,7,12,2,"Jang_2009","4:Jang_2009"
3,2,9,7,6,43,22,33,10,3,2,0,"Jang_2009","5:Jang_2009"
3,15,13,3,12,24,2,30,23,10,3,2,"Jang_2009","6:Jang_2009"
0,3,21,18,21,7,1,2,31,12,20,4,"Jang_2009","7:Jang_2009"
1,7,7,17,34,4,3,5,13,25,22,2,"Jang_2009","8:Jang_2009"
2,2,3,15,19,29,14,8,9,16,7,16,"Jang_2009","9:Jang_2009"
10,12,2,2,16,28,23,10,7,3,10,17,"Jang_2009","10:Jang_2009"
0,2,1,8,9,50,2,9,11,17,17,14,"Jang_2009","11:Jang_2009"
2,3,9,15,15,26,11,18,17,10,10,4,"Jang_2009","12:Jang_2009"
4,1,4,4,4,53,31,13,15,6,2,3,"Jang_2009","13:Jang_2009"
3,9,6,3,3,46,22,25,11,10,1,1,"Jang_2009","14:Jang_2009"
3,10,22,8,15,12,8,18,20,5,13,6,"Jang_2009","15:Jang_2009"
4,14,17,1,5,29,13,26,17,4,7,3,"Jang_2009","16:Jang_2009"
10,2,7,10,3,38,13,16,15,12,4,10,"Jang_2009","17:Jang_2009"
0,4,31,6,8,21,0,7,51,5,4,3,"Jang_2009","18:Jang_2009"
41,3,4,6,7,9,45,2,7,5,10,1,"Jang_2009","19:Jang_2009"
7,10,10,7,18,18,7,21,12,7,17,6,"Jang_2009","20:Jang_2009"
0,2,4,12,13,39,3,16,12,16,17,6,"Jang_2009","21:Jang_2009"
3,33,0,0,24,10,7,38,0,0,21,4,"Jang_2009","22:Jang_2009"
9,6,7,18,13,17,6,10,24,14,11,5,"Jang_2009","23:Jang_2009"
1,11,22,9,12,15,1,18,22,13,11,5,"Jang_2009","24:Jang_2009"
0,9,12,11,13,25,0,21,34,12,2,1,"Jang_2009","25:Jang_2009"
1,10,16,5,17,21,5,21,14,7,19,4,"Jang_2009","26:Jang_2009"
3,6,5,2,7,47,15,26,12,9,4,4,"Jang_2009","27:Jang_2009"
6,10,5,5,1,43,21,22,7,4,2,14,"Jang_2009","28:Jang_2009"
5,10,11,3,8,33,26,26,10,4,4,0,"Jang_2009","29:Jang_2009"
1,5,10,20,17,17,0,15,38,14,3,0,"Jang_2009","30:Jang_2009"
12,7,1,4,4,42,44,12,1,3,9,1,"Jang_2009","31:Jang_2009"
3,20,21,5,4,17,12,24,19,5,3,7,"Jang_2009","32:Jang_2009"
0,3,8,19,15,25,1,21,26,20,2,0,"Jang_2009","33:Jang_2009"
