model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,Dn,0.2505104608969916,0.03172231162896489,0.017165217594506687,0.05117077217434412,0.48068766505144467,0.5826075958961582
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,Do,0.42328827041642136,0.041139313392133295,0,0.10472397816250828,0.6786550516849749,0.7679418117138909
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,g,0.43370326691713573,0.03442924326426947,0.1968472373110407,0.23305365797728875,0.7255452628978292,0.8084122274707176
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,q_1,0.20458542942022695,0.04224873717380943,0,0,0.5099415204729979,0.8789401404600099
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,q_2,0.4779488685697602,0.03374050022819043,0.15062373196755105,0.23649470656210597,0.6726008595154996,0.875566229760717
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,q_6,0.19666953743325352,0.030950114303073598,0,0,0.45728189981123035,0.598528186298835
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_1,0.3660003217779434,0.08758828131474312,0,0.003335079723795384,0.6840342517987363,0.8570341078906669
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_2,0.6524008432725287,0.07277464066752062,0.06098030643303277,0.2019098416654168,1,1
jang_orig.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_6,0.8121469188116621,0.03655841596290834,0.43610830098400577,0.5681001639400186,1,1
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,Dn,0.2695426112128333,0.03615991725064202,0.017718934291103678,0.052455227759822,0.5034994480655212,0.8243039822566471
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,Do,0.42328827041642136,0.041139313392133295,0,0.10472397816250828,0.6786550516849749,0.7679418117138909
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,g,0.43370326691713573,0.03442924326426947,0.1968472373110407,0.23305365797728875,0.7255452628978292,0.8084122274707176
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,q_1,0.20458542942022695,0.04224873717380943,0,0,0.5099415204729979,0.8789401404600099
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,q_2,0.4779488685697602,0.03374050022819043,0.15062373196755105,0.23649470656210597,0.6726008595154996,0.875566229760717
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,q_6,0.19666953743325352,0.030950114303073598,0,0,0.45728189981123035,0.598528186298835
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,r_1,0.41630191068789346,0.06096624971468868,0,0,0.983617252210546,1
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,r_2,0.6818626893293676,0.06264335862223215,0,0.03049015321651642,1,1
jang_orig.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,r_6,0.7761366699586674,0.042151796420519,0.19123472469918693,0.46757732566801546,1,1
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,Dn,0.15009517710831446,0.041090443073354126,0.06955938857574706,0.09743565545873618,0.20275469875789276,0.23063096564088187
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,Do,0.4701569026214574,0.02189894735219455,0.4272357545118173,0.44209227235847365,0.4982215328844411,0.5130780507310975
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,g,0.3815043937969808,0.01993036157642473,0.3424416029083274,0.35596260771684374,0.4070461798771179,0.4205671846856342
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,q_1,0.23513870541611953,0.015413648956356059,0.20492850859131828,0.21538531946534653,0.25489209136689256,0.2653489022409208
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,q_2,0.47993168232278693,0.01459961695464858,0.45131695890359536,0.46122152035820557,0.4986418442873683,0.5085464057419785
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,q_6,0.20961281708945279,0.01487263613965905,0.18046298590055224,0.1905527669608975,0.22867286721800806,0.23876264827835333
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,r_1,0.42246134972678967,0.07850289055443303,0.26859851155781134,0.3218558474369796,0.5230668520165997,0.576324187895768
jang_orig.eqn,Jang_2009.csv,complete,MPTinR,asymptotic,Jang_2009,r_2,0.7254176960462275,0.052171350407891635,0.6231637282219409,0.658557420254418,0.792277971838037,0.8276716638705142
