model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,Dn,0.2972544402582121,0.03541298968773486,0.04519791666614766,0.09413202261199446,0.6045421318627221,0.7672010773881895
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,Do,0.42086717786191624,0.03793735834887638,0.09717316796256693,0.1266116107696648,0.6863739558823789,0.773387751362605
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,g,0.44636740778533424,0.03405764573898913,0.18586253232484262,0.22722521185281855,0.682759357536241,0.8242444621579308
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,q_1,0.20655997468394996,0.04225598804363783,0,0,0.5099415204673159,0.8789144480233573
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,q_2,0.47886787843281786,0.03298352039412066,0.17324316115783012,0.24200021147841605,0.6633965383393098,0.8684765796793968
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,q_6,0.19799943150193625,0.031472172869471154,0,0,0.4594361519404365,0.6072630017749308
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_1,0.28259916173416366,0.05659983664064027,0,0,0.5738242738828219,0.7923463325192073
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_2,0.6222431916026337,0.09728960837819065,0.0017839129514472974,0.07346047330494031,1,1
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_5,0.8626940943639756,0.06701321099511708,0.6273977306750856,0.632784864172006,1,1
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,PB/MLE,Jang_2009,r_6,0.7926012356149508,0.03918824232318538,0.35256530917621204,0.5729247806369966,0.9782657011809164,1
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,Dn,0.2972544402582121,0.03541298968773486,0.04519791666614766,0.09413202261199446,0.6045421318627221,0.7672010773881895
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,Do,0.42086717786191624,0.03793735834887638,0.09717316796256693,0.1266116107696648,0.6863739558823789,0.773387751362605
jang_qrest.eqn,Jang_2009.csv,no,MPTinR,asymptotic,Jang_2009,g,0.44636740778533424,0.03405764573898913,0.18586253232484262,0.22722521185281855,0.682759357536241,0.8242444621579308
