"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
4,35,84,12,9,16,7,41,104,6,2,0,"Koen_2010_pure","1:Koen_2010_pure"
75,0,0,8,0,77,120,3,0,14,0,23,"Koen_2010_pure","2:Koen_2010_pure"
0,22,39,13,9,77,4,50,75,14,5,12,"Koen_2010_pure","3:Koen_2010_pure"
20,12,26,36,14,52,24,13,24,36,15,48,"Koen_2010_pure","4:Koen_2010_pure"
6,21,2,4,7,120,49,86,16,8,0,1,"Koen_2010_pure","5:Koen_2010_pure"
5,41,22,23,27,42,23,56,31,20,21,9,"Koen_2010_pure","6:Koen_2010_pure"
1,7,4,24,52,72,5,24,22,47,39,23,"Koen_2010_pure","7:Koen_2010_pure"
11,18,19,18,26,68,53,60,33,8,1,5,"Koen_2010_pure","8:Koen_2010_pure"
51,21,5,12,14,57,103,23,4,16,6,8,"Koen_2010_pure","9:Koen_2010_pure"
29,37,7,16,32,39,63,58,7,13,19,0,"Koen_2010_pure","10:Koen_2010_pure"
49,1,9,10,4,87,128,10,10,6,3,3,"Koen_2010_pure","11:Koen_2010_pure"
0,36,57,25,24,18,3,56,70,25,6,0,"Koen_2010_pure","12:Koen_2010_pure"
12,44,3,9,28,64,62,85,10,2,1,0,"Koen_2010_pure","13:Koen_2010_pure"
2,18,44,44,35,17,3,48,69,28,12,0,"Koen_2010_pure","14:Koen_2010_pure"
2,21,27,21,52,37,12,29,42,39,32,6,"Koen_2010_pure","15:Koen_2010_pure"
2,62,18,47,21,10,5,103,12,32,7,1,"Koen_2010_pure","16:Koen_2010_pure"
51,17,12,19,29,32,77,30,20,17,13,3,"Koen_2010_pure","17:Koen_2010_pure"
18,29,10,23,16,64,31,39,29,24,12,25,"Koen_2010_pure","18:Koen_2010_pure"
2,6,40,52,36,24,6,14,67,53,15,5,"Koen_2010_pure","19:Koen_2010_pure"
0,9,20,26,46,59,0,43,40,50,26,1,"Koen_2010_pure","20:Koen_2010_pure"
80,3,4,0,3,70,125,6,5,0,5,19,"Koen_2010_pure","21:Koen_2010_pure"
8,30,34,26,15,47,8,46,87,16,2,1,"Koen_2010_pure","22:Koen_2010_pure"
60,15,9,0,5,71,101,20,7,0,4,28,"Koen_2010_pure","23:Koen_2010_pure"
5,7,1,1,15,131,49,45,9,14,24,19,"Koen_2010_pure","24:Koen_2010_pure"
1,4,13,13,32,97,17,46,67,19,8,3,"Koen_2010_pure","25:Koen_2010_pure"
8,17,30,37,14,54,35,29,53,34,7,2,"Koen_2010_pure","26:Koen_2010_pure"
26,25,16,31,25,37,50,49,23,16,16,6,"Koen_2010_pure","27:Koen_2010_pure"
18,22,20,57,20,23,23,29,30,51,23,4,"Koen_2010_pure","28:Koen_2010_pure"
6,31,18,17,25,63,39,74,30,14,2,1,"Koen_2010_pure","29:Koen_2010_pure"
4,17,44,33,26,36,22,31,86,12,8,1,"Koen_2010_pure","30:Koen_2010_pure"
11,30,11,29,40,39,27,56,18,27,21,11,"Koen_2010_pure","31:Koen_2010_pure"
5,6,9,14,16,110,53,29,28,23,17,10,"Koen_2010_pure","32:Koen_2010_pure"
