model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,Dn,0.3066701797750599,0.04265090090707125,0,0.015815217478607677,0.6353660161268724,0.7687304537984366
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,Do,0.41266077414392405,0.03855413852466052,0.041678110246187394,0.16808405621170922,0.7405116119456097,0.8506787676901378
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,g,0.36992754737868366,0.029301308584309363,0.044989477863756795,0.1728025435317029,0.5605201469469675,0.65699498064901
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,q_1,0.27747916093018343,0.05106478209275455,0,0.02659785667978864,0.7174146780181359,0.9410614419743564
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,q_2,0.4499973946017656,0.03405135006321617,0.13910256410256408,0.27272727271610614,0.713988575204424,0.7649492016460775
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,q_6,0.20451907288062435,0.04130349644219952,0,0,0.48260959910118834,0.8260639101833184
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_1,0.4487814959930897,0.07917142927686281,0.007296735239103571,0.024817367018413135,0.936192233940039,1
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_2,0.7411313873810554,0.03965797211324515,0.38408284528588255,0.4819674847881788,1,1
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_6,0.7564355811392618,0.04311222379737695,0.2960603729596806,0.4249139811328516,1,1
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,asymptotic,Koen_2010_pure,Dn,0.3066701797750599,0.04265090090707125,0,0.015815217478607677,0.6353660161268724,0.7687304537984366
koen2010_orig.eqn,Koen_2010_pure.csv,no,MPTinR,asymptotic,Koen_2010_pure,Do,0.41266077414392405,0.03855413852466052,0.041678110246187394,0.16808405621170922,0.7405116119456097,0.8506787676901378
