model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,Dn,0.29752062052859946,0.034754675264337474,0.01737367399896467,0.043955217581747995,0.5285346464599444,0.6551607824919425
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,Do,0.42353994188973265,0.03530411572923237,0.15062384786516864,0.23167211217298136,0.7339862256195945,0.8070740624320111
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,g,0.361140623609979,0.032376674137209786,0.04683550657708535,0.14802511814014815,0.5712898867546833,0.6711484321300094
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,q_1,0.27830410436383185,0.05111761271208115,0,0.02726907910085232,0.7174152000136484,0.9439606277443987
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,q_2,0.4551528668789745,0.034390237399578534,0.14276315789474117,0.27272727272727054,0.707175658930198,0.7776900991102511
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,q_6,0.2050325776154782,0.04150154636465007,0,0,0.4827220091068396,0.8368907791824333
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_1,0.3477552917620089,0.051556967653012556,0,2.678336485004763e-7,0.7711643577971787,0.8502731170715379
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_2,0.8822215895090314,0.05212198180925938,0.3579088504125317,0.6403147333575674,1,1
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_5,0.7207796730291016,0.08417697173416827,0.025605108697829983,0.251462858725523,1,1
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,PB/MLE,Koen_2010_pure,r_6,0.7027184485003766,0.040986483566708996,0.2428503091644921,0.45172631767110405,0.9823207965168553,1
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,asymptotic,Koen_2010_pure,Dn,0.29752062052859946,0.034754675264337474,0.01737367399896467,0.043955217581747995,0.5285346464599444,0.6551607824919425
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,asymptotic,Koen_2010_pure,Do,0.42353994188973265,0.03530411572923237,0.15062384786516864,0.23167211217298136,0.7339862256195945,0.8070740624320111
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,asymptotic,Koen_2010_pure,g,0.361140623609979,0.032376674137209786,0.04683550657708535,0.14802511814014815,0.5712898867546833,0.6711484321300094
koen2010_qrest.eqn,Koen_2010_pure.csv,no,MPTinR,asymptotic,Koen_2010_pure,q_1,0.27830410436383185,0.05111761271208115,0,0.02726907910085232,0.7174152000136484,0.9439606277443987
