"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
69,9,3,4,2,213,142,15,9,3,5,126,"Koen_2011","1:Koen_2011"
17,29,10,21,20,203,110,75,23,35,24,33,"Koen_2011","2:Koen_2011"
44,41,17,10,1,187,110,130,31,9,1,19,"Koen_2011","3:Koen_2011"
6,19,8,17,22,228,75,67,25,25,50,58,"Koen_2011","4:Koen_2011"
36,19,9,6,10,220,124,67,22,13,13,61,"Koen_2011","5:Koen_2011"
4,13,23,26,38,196,37,44,67,61,39,52,"Koen_2011","6:Koen_2011"
9,14,7,6,16,248,126,77,31,15,19,32,"Koen_2011","7:Koen_2011"
13,38,28,22,13,186,38,73,35,29,21,104,"Koen_2011","8:Koen_2011"
13,24,40,38,71,114,35,91,77,54,29,14,"Koen_2011","9:Koen_2011"
18,40,17,35,67,123,92,110,46,19,26,7,"Koen_2011","10:Koen_2011"
8,20,22,33,48,169,66,97,62,48,22,5,"Koen_2011","11:Koen_2011"
27,41,24,41,62,105,77,75,47,36,45,20,"Koen_2011","12:Koen_2011"
0,19,94,91,68,28,0,71,145,78,5,1,"Koen_2011","13:Koen_2011"
11,26,4,19,62,178,119,79,27,17,36,22,"Koen_2011","14:Koen_2011"
6,48,25,28,53,140,44,145,63,26,20,2,"Koen_2011","15:Koen_2011"
0,3,2,9,30,256,30,58,29,34,86,63,"Koen_2011","16:Koen_2011"
18,47,51,35,49,100,121,83,51,26,15,4,"Koen_2011","17:Koen_2011"
40,26,25,12,42,155,85,48,48,23,31,65,"Koen_2011","18:Koen_2011"
2,12,15,33,26,212,38,84,51,61,16,50,"Koen_2011","19:Koen_2011"
5,16,34,57,70,118,30,43,68,71,57,31,"Koen_2011","20:Koen_2011"
