model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,Dn,0.2880281986306108,0.04606828328145767,0.010122603005863318,0.024426757271321795,0.5597825471312349,0.6414289660964398
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,Do,0.5932141632241021,0.03712179086317758,0.3471024325181452,0.3851327624325724,0.7958903832688661,0.8900505242131872
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,g,0.47255389016935717,0.03094074793591641,0.209437005142193,0.3409223954595453,0.6286402650011665,0.689602381575187
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,q_1,0.2431825308237253,0.046142692034898965,0,0.06206896594698715,0.4561897238770365,0.71748289830653
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,q_2,0.523639109127937,0.037521341357168086,0.1921703472819648,0.3514128729237251,0.7055310096547208,0.7478929245206016
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,q_6,0.35572058005804985,0.05784227726732969,0.026041657146425517,0.06416666636592112,0.6921972991243959,0.8287476806108942
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_1,0.5743563724459101,0.07793195263053139,0.0716363024204028,0.20323000759986404,1,1
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_2,0.779774343873714,0.052948843156445505,0.2742795596061742,0.6605527241727939,1,1
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_6,0.8250527822673528,0.04062736113160427,0.40765443757063335,0.6322352462063228,0.9931707377247465,1
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,Dn,0.2880281986306108,0.04606828328145767,0.010122603005863318,0.024426757271321795,0.5597825471312349,0.6414289660964398
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,Do,0.5932141632241021,0.03712179086317758,0.3471024325181452,0.3851327624325724,0.7958903832688661,0.8900505242131872
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,g,0.47255389016935717,0.03094074793591641,0.209437005142193,0.3409223954595453,0.6286402650011665,0.689602381575187
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,q_1,0.2431825308237253,0.046142692034898965,0,0.06206896594698715,0.4561897238770365,0.71748289830653
koen2011_orig.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,q_2,0.523639109127937,0.037521341357168086,0.1921703472819648,0.3514128729237251,0.7055310096547208,0.7478929245206016
