model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,Dn,0.3400861208848404,0.040121091217548845,0.04120632118540014,0.08873231673765196,0.5539396974588112,0.5627663923863092
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,Do,0.5833861449568303,0.03617144236422263,0.32714232308433144,0.36946516204244295,0.7407926482380973,0.8744787918771815
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,g,0.4941903656019073,0.029946887912035414,0.23463169254260927,0.36498103020613526,0.645033766976516,0.7068189039690826
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,q_1,0.24485385445430005,0.046441964583387584,0,0.06206896552632165,0.457285978104601,0.7174828991682227
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,q_2,0.5202338593776301,0.035933275392724846,0.1921703616342056,0.3514128725129938,0.6854007474381184,0.7303685887447144
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,q_6,0.35703314047808754,0.05821730530228962,0.026041679062117247,0.06416666673468745,0.7017096874674942,0.8314089258631936
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_1,0.4746362581016228,0.054118128182861096,0.07609460399354828,0.20940091947877426,0.6930350808982986,0.8583024575010354
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_2,0.8229735782559212,0.05582250914976269,0.4984165783515061,0.5191671034421462,1,1
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_5,0.7751266279562267,0.08483167296904795,0.1586910178990393,0.6347640715961572,1,1
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,PB/MLE,Koen_2011,r_6,0.8282635050031069,0.03750035573332127,0.45018317958944476,0.645548005547702,0.9819047493044237,0.9924209451118183
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,Dn,0.3400861208848404,0.040121091217548845,0.04120632118540014,0.08873231673765196,0.5539396974588112,0.5627663923863092
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,Do,0.5833861449568303,0.03617144236422263,0.32714232308433144,0.36946516204244295,0.7407926482380973,0.8744787918771815
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,g,0.4941903656019073,0.029946887912035414,0.23463169254260927,0.36498103020613526,0.645033766976516,0.7068189039690826
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,q_1,0.24485385445430005,0.046441964583387584,0,0.06206896552632165,0.457285978104601,0.7174828991682227
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,q_2,0.5202338593776301,0.035933275392724846,0.1921703616342056,0.3514128725129938,0.6854007474381184,0.7303685887447144
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,q_6,0.35703314047808754,0.05821730530228962,0.026041679062117247,0.06416666673468745,0.7017096874674942,0.8314089258631936
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,r_1,0.49568095923374106,0.05075714168938352,0.08504691034573045,0.2180737173173832,0.7309066221265381,0.8524406420235215
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,r_2,0.7165026248234542,0.06871809297211966,0,0.3183891118769813,1,1
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,r_5,0.6481273674904324,0.08266568909861738,0,0,1,1
koen2011_qrest.eqn,Koen_2011.csv,no,MPTinR,asymptotic,Koen_2011,r_6,0.8282635050031069,0.03750035573332127,0.45018317958944476,0.645548005547702,0.9819047493044237,0.9924209451118183
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,Dn,0.24556797146345694,6439.37015890502,-12620.688026604337,-8252.139340294449,8252.630476237377,12621.179162547265
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,Do,0.6075717149603439,2680.0567656684966,-5252.207165518195,-3434.023372075901,3435.2385155058214,5253.422308948116
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,g,0.44448448720264233,3793.84760287229,-7435.360179976103,-4861.566850411412,4862.4558193858165,7436.249148950506
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,q_1,0.264525993883792,0.0121959032213709,0.24062246281096902,0.24889631501721368,0.28015567275037034,0.288429524956615
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,q_2,0.4825396825396826,0.010641448448678223,0.4616828268369337,0.46890211762061684,0.49617724745874836,0.5033965382424316
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,q_6,0.38220675944334,0.010833200214078471,0.3609740771864346,0.36832345474912964,0.3960900641375503,0.40343944170024537
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,r_1,0.5659159605427007,7903.154250669257,-15489.331779615837,-10127.73378672511,10128.865618646194,15490.46361153692
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,r_2,1,22990.172440895756,-45058.90998252098,-29462.09148377029,29464.09148377029,45060.90998252098
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,r_5,0.6872485126897392,3051.5207161513176,-5980.183453221765,-3909.9939025628128,3911.368399588192,5981.557950247144
koen2011_qrest.eqn,Koen_2011.csv,complete,MPTinR,asymptotic,Koen_2011,r_6,0.8171858315010647,1918.7341614088903,-3759.8326664365864,-2458.139582585969,2459.7739542489708,3761.4670380995876
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,Dn,0.3083340947355923,0.02587360006622111,0.25726385989997697,0.2744181355685861,0.34116161433758396,0.357976562198652
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,Do,0.5856030778846962,0.016595762937922465,0.5517252315254101,0.5638132371073988,0.6064444879046583,0.6165727227276552
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,g,0.4805382372683653,0.017843711392793705,0.44663143275833345,0.45777673011571807,0.5036408785566293,0.5157624959417584
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,q_1,0.2644622299201703,0.012270022714093292,0.24100720734447023,0.24899592571709056,0.28031519525762905,0.2888542300301676
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,q_2,0.531406414692535,0.010693079460415268,0.5103221020550499,0.5176444486633791,0.5450974370168115,0.5524220858258324
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,q_6,0.3641353330202672,0.009758788919529084,0.34481466363199503,0.3517588979102938,0.37658830152542255,0.38329350747421653
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,r_1,0.4966172093123477,0.035947422209721636,0.4260540887448757,0.45098781736412014,0.5429543848056894,0.5678498209994775
koen2011_qrest.eqn,Koen_2011.csv,no,TreeBUGS,simple,Koen_2011,r_2,0.6976318286355218,0.04090714427210429,0.6156884404281794,0.6441217823627756,0.7496710607749402,0.7746753278135031
