"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
15,11,8,13,20,83,74,24,12,15,10,15,"Koen-2013_immediate","1:Koen-2013_immediate"
1,16,14,20,26,73,3,46,51,24,20,6,"Koen-2013_immediate","2:Koen-2013_immediate"
2,4,18,15,28,83,29,31,58,20,11,1,"Koen-2013_immediate","3:Koen-2013_immediate"
10,12,11,6,5,106,61,29,14,12,10,24,"Koen-2013_immediate","4:Koen-2013_immediate"
9,22,20,28,20,51,17,33,36,35,14,15,"Koen-2013_immediate","5:Koen-2013_immediate"
6,26,18,4,10,86,28,52,32,14,4,20,"Koen-2013_immediate","6:Koen-2013_immediate"
7,13,9,11,11,99,32,35,14,9,30,30,"Koen-2013_immediate","7:Koen-2013_immediate"
6,24,8,4,1,107,27,63,26,4,4,26,"Koen-2013_immediate","8:Koen-2013_immediate"
14,9,24,20,11,72,40,29,37,16,8,20,"Koen-2013_immediate","9:Koen-2013_immediate"
21,6,3,7,2,111,32,26,13,6,2,71,"Koen-2013_immediate","10:Koen-2013_immediate"
8,32,17,13,20,60,21,58,31,11,18,11,"Koen-2013_immediate","11:Koen-2013_immediate"
11,22,10,4,22,81,28,37,5,5,30,45,"Koen-2013_immediate","12:Koen-2013_immediate"
6,4,1,2,7,130,43,30,11,6,6,54,"Koen-2013_immediate","13:Koen-2013_immediate"
17,14,5,9,27,78,62,43,19,9,8,9,"Koen-2013_immediate","14:Koen-2013_immediate"
2,7,13,21,27,80,16,39,32,32,17,14,"Koen-2013_immediate","15:Koen-2013_immediate"
9,9,7,18,40,67,13,48,14,22,33,20,"Koen-2013_immediate","16:Koen-2013_immediate"
2,13,17,15,47,56,29,53,25,11,25,7,"Koen-2013_immediate","17:Koen-2013_immediate"
2,6,15,21,22,84,7,21,54,37,14,17,"Koen-2013_immediate","18:Koen-2013_immediate"
0,0,99,21,15,15,0,1,108,21,11,9,"Koen-2013_immediate","19:Koen-2013_immediate"
3,27,24,16,25,55,37,60,39,10,4,0,"Koen-2013_immediate","20:Koen-2013_immediate"
4,4,56,21,26,39,6,14,85,16,28,1,"Koen-2013_immediate","21:Koen-2013_immediate"
2,2,4,9,5,128,21,15,26,29,18,41,"Koen-2013_immediate","22:Koen-2013_immediate"
2,7,10,18,9,104,33,28,50,18,13,8,"Koen-2013_immediate","23:Koen-2013_immediate"
2,9,35,20,31,53,11,34,64,20,11,10,"Koen-2013_immediate","24:Koen-2013_immediate"
20,20,21,21,17,51,20,29,29,29,26,17,"Koen-2013_immediate","25:Koen-2013_immediate"
1,8,15,7,10,109,24,36,56,7,14,13,"Koen-2013_immediate","26:Koen-2013_immediate"
11,27,25,28,25,34,20,37,32,26,21,14,"Koen-2013_immediate","27:Koen-2013_immediate"
0,7,31,14,38,60,4,37,76,14,16,3,"Koen-2013_immediate","28:Koen-2013_immediate"
0,1,1,4,0,144,10,20,29,23,5,63,"Koen-2013_immediate","29:Koen-2013_immediate"
10,7,5,8,6,114,80,19,8,12,9,22,"Koen-2013_immediate","30:Koen-2013_immediate"
9,24,0,0,17,100,31,45,5,0,22,47,"Koen-2013_immediate","31:Koen-2013_immediate"
8,17,10,10,15,90,22,36,20,19,8,45,"Koen-2013_immediate","32:Koen-2013_immediate"
20,16,1,0,5,108,53,25,2,1,5,64,"Koen-2013_immediate","33:Koen-2013_immediate"
2,7,6,5,2,128,27,13,9,8,4,89,"Koen-2013_immediate","34:Koen-2013_immediate"
2,1,12,9,13,113,69,15,37,11,10,8,"Koen-2013_immediate","35:Koen-2013_immediate"
1,10,9,21,34,75,10,31,27,25,34,23,"Koen-2013_immediate","36:Koen-2013_immediate"
12,31,14,1,0,92,38,55,25,0,1,31,"Koen-2013_immediate","37:Koen-2013_immediate"
18,3,1,1,2,125,35,33,3,1,6,72,"Koen-2013_immediate","38:Koen-2013_immediate"
14,18,23,27,23,45,31,42,39,15,12,11,"Koen-2013_immediate","39:Koen-2013_immediate"
4,13,3,6,12,112,47,37,14,8,19,25,"Koen-2013_immediate","40:Koen-2013_immediate"
17,10,6,1,1,115,39,22,18,4,6,61,"Koen-2013_immediate","41:Koen-2013_immediate"
3,14,8,8,29,88,17,52,25,17,25,14,"Koen-2013_immediate","42:Koen-2013_immediate"
6,6,0,2,3,133,19,61,5,6,8,51,"Koen-2013_immediate","43:Koen-2013_immediate"
10,23,19,4,20,74,13,45,41,3,8,40,"Koen-2013_immediate","44:Koen-2013_immediate"
4,3,6,11,12,114,31,28,23,19,22,27,"Koen-2013_immediate","45:Koen-2013_immediate"
15,8,4,6,1,116,58,26,2,5,3,56,"Koen-2013_immediate","46:Koen-2013_immediate"
13,22,7,4,7,97,37,46,23,5,17,22,"Koen-2013_immediate","47:Koen-2013_immediate"
2,5,5,13,25,100,34,39,33,24,17,3,"Koen-2013_immediate","48:Koen-2013_immediate"
