model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,Dn,0.2546629864020935,0.02263671880937314,0.036281986751451695,0.07074891446727148,0.5081534565345505,0.5478784626768523
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,Do,0.5666045519854096,0.025794947510120198,0.22149841546163845,0.3576027998562407,0.7976223619961877,0.8559117031732342
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,g,0.49096253775936055,0.02079934464808239,0.23266300816407418,0.2881297649052154,0.6460819177373752,0.7140356023990668
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_1,0.24362450640581512,0.028149326582107708,0,0.042934782608746294,0.522257780745362,0.6811764017574449
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_2,0.5160010193758244,0.027041108460639427,0.20732038773213296,0.2884908234954818,0.7487675687398362,0.9050326644653812
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_6,0.45015018736722257,0.040911958313030634,0.02568469841584196,0.11127272916585296,0.8944031851540186,0.9178351814552261
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_1,0.42655800094099927,0.047652177376867604,0,0.014565531511649531,0.8245475600688781,0.9778007302201615
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_2,0.7718859287736987,0.07257404911170517,0.13511896020410621,0.46628759746289544,1,1
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_5,0.7806386039290866,0.08004801362308746,0,0.25247983726669326,1,1
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_6,0.8421162069840824,0.02296379690750414,0.5367818093743554,0.6420478828528706,0.9978095639687177,1
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,asymptotic,Koen-2013_immediate,Dn,0.2546629864020935,0.02263671880937314,0.036281986751451695,0.07074891446727148,0.5081534565345505,0.5478784626768523
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,asymptotic,Koen-2013_immediate,Do,0.5666045519854096,0.025794947510120198,0.22149841546163845,0.3576027998562407,0.7976223619961877,0.8559117031732342
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,asymptotic,Koen-2013_immediate,g,0.49096253775936055,0.02079934464808239,0.23266300816407418,0.2881297649052154,0.6460819177373752,0.7140356023990668
koen_qrest.eqn,Koen_2013_immediate.csv,no,MPTinR,asymptotic,Koen-2013_immediate,q_1,0.24362450640581512,0.028149326582107708,0,0.042934782608746294,0.522257780745362,0.6811764017574449
