model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,Dn,0.2219040240804229,0.023940335502630933,0.0015699116864894243,0.020387528846163454,0.4711176309040248,0.5124974587096329
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,Do,0.557100721433206,0.031000087876729733,0.10721419076868191,0.24561185185060924,0.7941369252703351,0.8690379571689539
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,g,0.4786144746999941,0.023048550471649717,0.19095313945039105,0.27369589663211863,0.6732418830874806,0.7473178972168348
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_1,0.2421142161941757,0.02790173694286647,0,0.042934782608655964,0.5195266513613703,0.6779098360787196
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_2,0.5307782017371888,0.033683219044107364,0.06907837844823685,0.196410377914096,0.754644390705923,0.9897727274109492
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_5,0.5005540798528255,0.028126484286513913,0.23730834752805502,0.2812324929972287,0.7800405680284965,0.8837977040619966
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,q_6,0.4483964890788684,0.040737631656024814,0.02391536971605932,0.11127234546147796,0.8845159029675858,0.9185480434099725
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_1,0.4916096258938815,0.06056193157942894,0,0.014763425971301775,0.8949252896654615,1
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_2,0.7411710765804975,0.031068098895853106,0.43076770911761864,0.5603715406655339,0.9238093754203485,0.9767857087091322
koen_rrest.eqn,Koen_2013_immediate.csv,no,MPTinR,PB/MLE,Koen-2013_immediate,r_6,0.8495284117784803,0.020697499106812144,0.6028435699976743,0.6641347249121157,1,1
