"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
2,7,3,6,3,79,37,30,11,16,5,1,"Koen-2013_full","1:Koen-2013_full"
6,12,13,9,16,44,32,26,16,6,14,6,"Koen-2013_full","2:Koen-2013_full"
11,7,8,6,10,58,29,23,21,10,7,10,"Koen-2013_full","3:Koen-2013_full"
1,3,37,11,12,32,1,10,59,13,3,5,"Koen-2013_full","4:Koen-2013_full"
17,14,7,2,2,58,23,18,12,5,7,35,"Koen-2013_full","5:Koen-2013_full"
5,16,4,5,12,58,29,32,17,6,8,8,"Koen-2013_full","6:Koen-2013_full"
0,10,14,16,28,31,10,38,29,12,8,1,"Koen-2013_full","7:Koen-2013_full"
2,8,7,8,28,47,18,34,15,7,16,10,"Koen-2013_full","8:Koen-2013_full"
2,3,5,15,7,68,49,30,7,8,4,2,"Koen-2013_full","9:Koen-2013_full"
3,15,9,9,30,34,23,33,22,12,6,4,"Koen-2013_full","10:Koen-2013_full"
6,6,24,13,26,25,32,20,38,7,3,0,"Koen-2013_full","11:Koen-2013_full"
3,28,0,0,3,66,6,61,0,0,4,28,"Koen-2013_full","12:Koen-2013_full"
8,8,16,4,12,52,23,29,29,9,6,4,"Koen-2013_full","13:Koen-2013_full"
1,6,7,10,19,57,22,28,15,22,9,4,"Koen-2013_full","14:Koen-2013_full"
20,6,1,1,10,61,70,12,5,6,0,6,"Koen-2013_full","15:Koen-2013_full"
8,10,14,8,12,48,29,35,15,6,10,5,"Koen-2013_full","16:Koen-2013_full"
10,18,6,9,13,44,38,40,2,6,10,4,"Koen-2013_full","17:Koen-2013_full"
3,9,6,6,7,68,49,32,16,2,0,1,"Koen-2013_full","18:Koen-2013_full"
16,13,2,0,1,68,52,21,3,1,3,19,"Koen-2013_full","19:Koen-2013_full"
8,5,8,12,8,59,44,16,17,8,4,11,"Koen-2013_full","20:Koen-2013_full"
4,5,9,14,19,49,27,24,32,13,3,1,"Koen-2013_full","21:Koen-2013_full"
5,6,16,5,8,60,37,12,28,9,2,12,"Koen-2013_full","22:Koen-2013_full"
1,8,7,6,10,68,9,30,26,15,7,13,"Koen-2013_full","23:Koen-2013_full"
6,11,11,4,15,53,20,22,29,8,11,9,"Koen-2013_full","24:Koen-2013_full"
3,6,3,10,16,62,29,25,24,13,3,6,"Koen-2013_full","25:Koen-2013_full"
2,4,6,12,28,48,22,18,22,23,9,6,"Koen-2013_full","26:Koen-2013_full"
14,10,1,0,3,72,36,35,3,1,7,18,"Koen-2013_full","27:Koen-2013_full"
1,7,20,28,21,23,5,31,44,16,3,1,"Koen-2013_full","28:Koen-2013_full"
10,14,7,6,10,52,20,33,15,7,13,11,"Koen-2013_full","29:Koen-2013_full"
7,2,4,4,2,81,48,26,15,8,0,3,"Koen-2013_full","30:Koen-2013_full"
3,11,5,2,8,34,27,42,8,1,5,8,"Koen-2013_full","31:Koen-2013_full"
0,7,15,6,11,60,8,32,35,15,9,1,"Koen-2013_full","32:Koen-2013_full"
5,11,7,13,17,47,25,23,23,15,9,4,"Koen-2013_full","33:Koen-2013_full"
1,3,4,13,29,50,14,37,26,12,11,0,"Koen-2013_full","34:Koen-2013_full"
11,1,0,1,1,85,55,19,1,3,5,15,"Koen-2013_full","35:Koen-2013_full"
2,10,9,10,14,55,14,34,20,25,6,1,"Koen-2013_full","36:Koen-2013_full"
1,5,11,24,13,45,20,26,33,16,4,1,"Koen-2013_full","37:Koen-2013_full"
11,8,3,3,2,73,30,20,5,4,5,35,"Koen-2013_full","38:Koen-2013_full"
1,6,0,0,10,81,9,36,2,5,30,15,"Koen-2013_full","39:Koen-2013_full"
0,2,22,8,14,53,5,20,52,14,5,3,"Koen-2013_full","40:Koen-2013_full"
10,16,6,1,9,58,50,23,5,3,7,11,"Koen-2013_full","41:Koen-2013_full"
11,18,8,16,11,34,38,23,12,16,7,4,"Koen-2013_full","42:Koen-2013_full"
4,1,2,4,22,67,24,30,18,10,7,11,"Koen-2013_full","43:Koen-2013_full"
1,4,6,18,20,51,9,25,17,23,16,10,"Koen-2013_full","44:Koen-2013_full"
11,12,0,0,11,64,56,27,6,0,9,2,"Koen-2013_full","45:Koen-2013_full"
9,11,13,17,24,26,25,36,19,12,5,0,"Koen-2013_full","46:Koen-2013_full"
8,8,0,1,15,68,24,39,0,3,25,7,"Koen-2013_full","47:Koen-2013_full"
35,11,3,8,12,28,63,19,2,2,6,7,"Koen-2013_full","48:Koen-2013_full"
