model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,Dn,0.3690333443537706,0.02937951919578212,0.0438285003560808,0.1362104747223332,0.63520446974532,0.7873184081429536
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,Do,0.6040428612223714,0.020102773812724618,0.3568744680278091,0.4374381513094136,0.8064553426458174,0.8653348598808257
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,g,0.4076639046933869,0.018805492685196892,0.17472069482299457,0.25876642049029575,0.5809639312512035,0.6985551875853326
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_1,0.2683835859026155,0.03051165856620544,0,0.05189075624421824,0.5326227988878597,0.7488885774254788
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_2,0.5039369931477836,0.033617463130438105,0.1463454242348486,0.23719709432028643,0.8753805955450097,0.9888977518524005
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_6,0.30220631185514985,0.03524543369701811,0,0.04440514643654056,0.6735512910726147,0.8493517981539085
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_1,0.4823990907337159,0.03912327675679533,0.055573365514801916,0.23507600307293663,0.6928061779887107,0.9000336815627052
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_2,0.8359386932127145,0.025479206876106837,0.5338879258340219,0.6351618926408298,1,1
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_6,0.8244822766023229,0.025267757533069205,0.44574078881494716,0.5718360935651465,1,1
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,Dn,0.3690333443537706,0.02937951919578212,0.0438285003560808,0.1362104747223332,0.63520446974532,0.7873184081429536
koen2013f_orig.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,Do,0.6040428612223714,0.020102773812724618,0.3568744680278091,0.4374381513094136,0.8064553426458174,0.8653348598808257
