model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,Dn,0.3783625999171837,0.028753436045634868,0.07084382274574513,0.17292203336385795,0.6535385590941345,0.7642388753373865
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,Do,0.6051642126749505,0.021688431506988924,0.35255819814532613,0.4056480446505837,0.811949749212785,0.8655730973046651
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,g,0.4083999825462793,0.016672965149108338,0.20417775481892697,0.29302872550786635,0.5694933434992266,0.6239167086801405
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_1,0.27040082729888126,0.030863112779135667,0,0.05189075630251342,0.5445759369564269,0.7488885776208829
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_2,0.5079173794165751,0.03360484515903044,0.14634550536008195,0.23719708187538943,0.876253526075774,0.9888977518542656
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_6,0.3023653084956006,0.03524941587589883,0,0.044405069688383,0.6720833602665944,0.8501200088362614
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_1,0.45459901975539874,0.03793396371258292,0,0.16057249567997492,0.7338353573898676,0.8987743697629906
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_2,0.8368478041213221,0.03580967341307693,0.46678564788978516,0.6528160910883933,1,1
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_5,0.8355275437848616,0.04844117271150654,0.22568807339449545,0.5662797695574839,1,1
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_6,0.8250862429067011,0.022525596222308347,0.5297727647946513,0.5993890369952513,1,1
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,Dn,0.3783625999171837,0.028753436045634868,0.07084382274574513,0.17292203336385795,0.6535385590941345,0.7642388753373865
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,Do,0.6051642126749505,0.021688431506988924,0.35255819814532613,0.4056480446505837,0.811949749212785,0.8655730973046651
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,g,0.4083999825462793,0.016672965149108338,0.20417775481892697,0.29302872550786635,0.5694933434992266,0.6239167086801405
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_1,0.27040082729888126,0.030863112779135667,0,0.05189075630251342,0.5445759369564269,0.7488885776208829
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_2,0.5079173794165751,0.03360484515903044,0.14634550536008195,0.23719708187538943,0.876253526075774,0.9888977518542656
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_6,0.30301047567972,0.03451327047148479,0,0.045084058333187446,0.6684208946051695,0.8490471141341079
koen2013f_qrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,r_1,0.4459892475035322,0.03816982429267865,0,0.05560387638445243,0.7911712390895815,0.9029956786535829
