model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,Dn,0.3409895103019074,0.03130536042783111,0.02572093926216746,0.08069761550761947,0.6163772890586041,0.7906538461782464
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,Do,0.6061391759267253,0.023661380095414984,0.33255799745225,0.3935586059001841,0.8212161172623682,0.8645032313294005
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,g,0.3897774890276456,0.018702933475664048,0.16789073518885672,0.24582220276817246,0.5401230580079164,0.6913990758731977
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_1,0.2676189714699666,0.030468736765789258,0,0.05189075631145447,0.5350512782517203,0.7549260927767137
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_2,0.553708414048007,0.03517155801330027,0.10374846904557464,0.2943042803264333,0.9175111773650584,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_5,0.44384297335070233,0.037978072437809936,0,0.18568611987376332,0.8364614243327653,0.9858823529409898
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,q_6,0.3017029259209925,0.03521830354691072,0,0.04340931095650554,0.6711630018286914,0.8476389878833541
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_1,0.5322904878743854,0.049249427596882445,0.14224991310041193,0.2349798742480405,0.9153608606999741,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_2,0.8230504983652103,0.023675889926906727,0.5344845938211964,0.65236262609435,1,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,PB/MLE,Koen-2013_full,r_6,0.8260709080861186,0.025503132285797495,0.44769933188646344,0.5567283453218286,1,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,Dn,0.3409895103019074,0.03130536042783111,0.02572093926216746,0.08069761550761947,0.6163772890586041,0.7906538461782464
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,Do,0.6061391759267253,0.023661380095414984,0.33255799745225,0.3935586059001841,0.8212161172623682,0.8645032313294005
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,g,0.3897774890276456,0.018702933475664048,0.16789073518885672,0.24582220276817246,0.5401230580079164,0.6913990758731977
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_1,0.2676189714699666,0.030468736765789258,0,0.05189075631145447,0.5350512782517203,0.7549260927767137
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_2,0.553708414048007,0.03517155801330027,0.10374846904557464,0.2943042803264333,0.9175111773650584,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_5,0.45126291140589603,0.03791163696563325,0,0.18613958990529783,0.8304710682496572,0.9835294117644875
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,q_6,0.3023618820131107,0.034483079282795884,0,0.04392061960595467,0.6664157282820395,0.8461525896890493
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,r_1,0.5294138915481069,0.04539147369230816,0,0.08242357453764024,1,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,r_2,0.8174753687582296,0.02509376445792848,0.5032327440795684,0.5984686501043119,1,1
koen2013f_rrest.eqn,Koen-2013_full.csv,no,MPTinR,asymptotic,Koen-2013_full,r_6,0.8296944308343245,0.02522774795691307,0.44917359766410214,0.5621378371049889,1,1
