"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
10,34,57,37,30,72,45,58,65,52,18,2,"Pratte_2010","1:Pratte_2010"
0,2,53,93,66,25,0,10,72,95,55,7,"Pratte_2010","2:Pratte_2010"
5,14,29,27,93,72,40,91,67,18,18,6,"Pratte_2010","3:Pratte_2010"
32,51,20,13,69,53,81,75,34,8,29,12,"Pratte_2010","4:Pratte_2010"
4,30,48,53,60,45,17,74,86,46,16,1,"Pratte_2010","5:Pratte_2010"
40,37,2,11,30,120,97,76,10,9,26,22,"Pratte_2010","6:Pratte_2010"
21,13,7,6,22,170,116,42,16,15,19,32,"Pratte_2010","7:Pratte_2010"
5,20,15,14,49,137,48,70,26,25,47,24,"Pratte_2010","8:Pratte_2010"
48,19,6,10,7,150,127,40,10,23,5,35,"Pratte_2010","9:Pratte_2010"
3,13,31,54,40,99,45,77,56,48,12,2,"Pratte_2010","10:Pratte_2010"
8,34,43,30,45,80,64,86,66,21,3,0,"Pratte_2010","11:Pratte_2010"
10,44,17,37,57,74,43,72,49,28,42,5,"Pratte_2010","12:Pratte_2010"
4,44,20,13,44,114,33,161,24,6,13,3,"Pratte_2010","13:Pratte_2010"
18,34,50,30,48,60,52,61,84,29,9,5,"Pratte_2010","14:Pratte_2010"
10,51,23,13,63,76,56,96,38,13,29,8,"Pratte_2010","15:Pratte_2010"
18,27,4,5,9,177,152,48,8,7,11,14,"Pratte_2010","16:Pratte_2010"
27,43,31,26,41,72,64,52,43,32,27,21,"Pratte_2010","17:Pratte_2010"
3,34,38,31,40,93,38,85,72,15,19,11,"Pratte_2010","18:Pratte_2010"
11,32,0,1,41,155,72,102,2,1,40,23,"Pratte_2010","19:Pratte_2010"
34,39,3,9,42,113,115,61,7,13,28,16,"Pratte_2010","20:Pratte_2010"
133,9,17,0,20,61,173,21,15,1,5,25,"Pratte_2010","21:Pratte_2010"
46,14,13,19,20,128,168,19,22,14,5,11,"Pratte_2010","22:Pratte_2010"
23,28,16,26,33,114,79,61,25,36,24,15,"Pratte_2010","23:Pratte_2010"
2,12,22,40,44,120,9,51,67,67,38,8,"Pratte_2010","24:Pratte_2010"
3,66,54,36,28,53,29,127,60,16,6,2,"Pratte_2010","25:Pratte_2010"
12,42,47,11,46,82,41,88,64,15,24,8,"Pratte_2010","26:Pratte_2010"
44,59,46,31,33,27,77,80,42,28,9,4,"Pratte_2010","27:Pratte_2010"
42,46,45,29,15,63,70,47,47,38,24,13,"Pratte_2010","28:Pratte_2010"
3,62,21,29,53,72,45,101,32,26,27,9,"Pratte_2010","29:Pratte_2010"
6,59,60,44,32,39,16,83,90,33,14,4,"Pratte_2010","30:Pratte_2010"
0,30,49,12,29,120,0,76,63,20,29,52,"Pratte_2010","31:Pratte_2010"
10,26,12,13,38,141,103,85,21,17,11,3,"Pratte_2010","32:Pratte_2010"
5,42,20,48,77,48,24,62,34,43,68,9,"Pratte_2010","33:Pratte_2010"
0,87,52,53,38,10,6,154,48,26,5,0,"Pratte_2010","34:Pratte_2010"
3,35,31,22,67,81,38,106,40,16,36,4,"Pratte_2010","35:Pratte_2010"
20,40,47,41,50,42,39,65,79,33,17,7,"Pratte_2010","36:Pratte_2010"
57,39,18,18,32,76,135,75,12,14,4,0,"Pratte_2010","37:Pratte_2010"
33,49,16,6,15,120,110,63,25,9,12,21,"Pratte_2010","38:Pratte_2010"
7,38,51,54,48,41,8,41,71,52,52,14,"Pratte_2010","39:Pratte_2010"
10,19,2,7,46,156,114,49,8,21,31,17,"Pratte_2010","40:Pratte_2010"
32,26,2,12,38,129,170,41,2,3,18,6,"Pratte_2010","41:Pratte_2010"
0,24,28,37,34,117,5,110,70,38,12,5,"Pratte_2010","42:Pratte_2010"
0,2,89,68,23,57,6,43,138,48,4,1,"Pratte_2010","43:Pratte_2010"
4,66,57,24,30,59,34,89,78,25,9,5,"Pratte_2010","44:Pratte_2010"
4,49,24,29,73,61,45,94,41,30,27,3,"Pratte_2010","45:Pratte_2010"
12,41,29,32,61,65,54,65,63,25,26,7,"Pratte_2010","46:Pratte_2010"
2,57,18,33,58,72,38,135,26,24,15,2,"Pratte_2010","47:Pratte_2010"
11,19,24,27,34,125,57,47,42,35,28,31,"Pratte_2010","48:Pratte_2010"
53,0,18,13,4,152,202,2,30,2,3,1,"Pratte_2010","49:Pratte_2010"
24,39,17,16,53,90,108,62,24,20,23,3,"Pratte_2010","50:Pratte_2010"
25,18,8,7,12,169,96,23,7,11,13,90,"Pratte_2010","51:Pratte_2010"
10,62,32,56,43,37,29,119,39,45,8,0,"Pratte_2010","52:Pratte_2010"
4,39,50,48,25,74,17,107,81,26,8,1,"Pratte_2010","53:Pratte_2010"
4,21,34,36,52,93,35,60,61,35,37,12,"Pratte_2010","54:Pratte_2010"
4,29,34,62,63,47,18,63,76,52,27,4,"Pratte_2010","55:Pratte_2010"
40,7,3,9,14,167,176,6,14,18,11,14,"Pratte_2010","56:Pratte_2010"
5,55,28,41,69,42,35,108,40,31,25,0,"Pratte_2010","57:Pratte_2010"
3,12,15,20,48,142,48,74,48,25,33,12,"Pratte_2010","58:Pratte_2010"
7,28,35,26,58,86,48,80,40,32,35,5,"Pratte_2010","59:Pratte_2010"
28,57,30,26,47,52,55,83,46,23,24,9,"Pratte_2010","60:Pratte_2010"
7,40,20,30,74,69,40,94,42,25,31,8,"Pratte_2010","61:Pratte_2010"
