model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,Dn,0.3627013032226411,0.02095368050862786,0.013596815318665894,0.086063747463901,0.6654154834751256,0.7223188272557257
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,Do,0.4205043744767162,0.01724938693957299,0.10118686538455421,0.20450900241331044,0.6738876324818082,0.7078308224612224
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,g,0.3975684213219488,0.013417029786472578,0.11196809668675785,0.23587387389492048,0.548983630983966,0.6324800996199618
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_1,0.22931815303609251,0.02428248217810842,0,0.025340511834580838,0.6389264330401601,0.8344265239776328
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_2,0.5446111128393754,0.01798858808443795,0.21832153447888325,0.3570019081607131,0.7635145115628212,0.9189047881114687
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_6,0.21143440965932744,0.021101492868628554,0,0.009523809523824466,0.5233685049573551,0.8083441154105628
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_1,0.5434576090138027,0.03389887304998477,0.03737882902205729,0.1650689933548255,1,1
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_2,0.7884270768811961,0.01862665634015388,0.47100119354228936,0.5862214873743541,1,1
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_6,0.757731185839049,0.02164358382364879,0.2691940404953263,0.4630818631431667,1,1
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,Dn,0.3627013032226411,0.02095368050862786,0.013596815318665894,0.086063747463901,0.6654154834751256,0.7223188272557257
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,Do,0.4205043744767162,0.01724938693957299,0.10118686538455421,0.20450900241331044,0.6738876324818082,0.7078308224612224
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,g,0.3975684213219488,0.013417029786472578,0.11196809668675785,0.23587387389492048,0.548983630983966,0.6324800996199618
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_1,0.22931815303609251,0.02428248217810842,0,0.025340511834580838,0.6389264330401601,0.8344265239776328
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_2,0.5446111128393754,0.01798858808443795,0.21832153447888325,0.3570019081607131,0.7635145115628212,0.9189047881114687
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_6,0.21143440965932744,0.021101492868628554,0,0.009523809523824466,0.5233685049573551,0.8083441154105628
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_1,0.5277457356177098,0.03290743484081575,0.01171165833214341,0.1034629491525245,1,1
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_2,0.7422243758671306,0.025943602460497775,0,0.4711944498883888,1,1
pratte_orig.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_6,0.7499195241293681,0.02279930098406768,0.20079672999976697,0.4403816547218575,1,1
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,Dn,0.40800558376034823,0.010727827255461788,0.386979428707276,0.39425731994621915,0.4217538475744773,0.4290317388134205
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,Do,0.3960918097031637,0.007720171397547935,0.3809605518094935,0.38619801196236353,0.4059856074439639,0.4112230675968339
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,g,0.428802691909009,0.00703344915872578,0.4150173848708129,0.4197889641284656,0.43781641968955237,0.4425879989472051
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_1,0.22739179290174594,0.004681242186318166,0.21821672681365278,0.22139253964917646,0.2333910461543154,0.2365668589898391
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_2,0.515406681906068,0.004807409959223823,0.5059843315270701,0.50924573814661,0.521567625665526,0.5248290322850658
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_6,0.21853294999368708,0.005378701073102673,0.2079908896067989,0.21163986721285594,0.22542603277451823,0.22907501038057526
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_1,0.4736590396137648,0.009386393488255913,0.4552620464320619,0.4616298923440728,0.48568818688345683,0.49205603279546767
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_2,0.7693143320889556,0.013203650520669652,0.7434356526039896,0.7523931730932877,0.7862354910846235,0.7951930115739216
pratte_orig.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_6,0.7773309927403091,0.01088777376788895,0.7559913482834268,0.7633777492227756,0.7912842362578427,0.7986706371971914
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,Dn,0.4080142208304517,0.010728511159561287,0.38717296144060404,0.3943161756163765,0.4217396765354957,0.42966681197142165
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,Do,0.39572039309124624,0.007769840133171833,0.3800102277772544,0.3856157254299953,0.40545850652055127,0.4105071352015172
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,g,0.4290125485863872,0.00707525299195814,0.4154764417541764,0.42005841020685053,0.4381445138618108,0.4433754529822611
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,q_1,0.22751206871290244,0.00468981439937454,0.2184340672924066,0.22149580153346254,0.23358651176821002,0.23672330058669686
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,q_2,0.5155788224819361,0.004810211003234265,0.5060627482975251,0.5094048102094713,0.5217353413614634,0.5248411594262538
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,q_6,0.21865189591365025,0.005405437947203232,0.20823017293320664,0.21179952227811386,0.22564024558783322,0.22948130662946747
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_1,0.4737341996255429,0.009412244223267896,0.4556029494291587,0.46172748865272334,0.48581836460486794,0.49270844613741877
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_2,0.7690046001784644,0.013223956498832271,0.7435207729145753,0.752005263697378,0.7858831368609187,0.7957831638804965
pratte_orig.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_6,0.7778125441027842,0.011013502807500927,0.7571386189652768,0.7639170865353052,0.7920444081297496,0.8000637745803032
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,Dn,0.3609869953030303,0.027394549064903,0.30862297499999997,0.3264398,0.3966323,0.4161731
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,Do,0.4053846400883838,0.019490536909229424,0.36695087500000007,0.380483,0.4302481,0.44376905
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,g,0.4035025013510101,0.01421716732640607,0.375232,0.3853359,0.421581,0.43084217499999994
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,q_1,0.16749732978535353,0.02533498527732126,0.12234387499999999,0.136081,0.2012601,0.22219702500000002
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,q_2,0.5448671705555556,0.022023579430782324,0.50091295,0.517255,0.5734490999999999,0.587686175
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,q_6,0.15742080198358585,0.02200880596734386,0.11702590000000002,0.1296178,0.1864901,0.20247322499999992
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_1,0.48508607390151515,0.041896602556785144,0.405050825,0.431032,0.5391678,0.5698547999999998
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_2,0.8386112546085859,0.02043771181306202,0.798164925,0.8122228,0.864513,0.87811315
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_6,0.8087709158712121,0.027135070176276747,0.7557039750000001,0.7742969,0.8436142,0.8628060999999999
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,Dn,0.3540893016666667,0.024847918912281226,0.3053728,0.3225639,0.38626510000000003,0.40303619999999996
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,Do,0.41366833098958333,0.017695495067744368,0.37854384999999996,0.39112090000000005,0.436156,0.4486875999999998
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,g,0.40012017734375,0.013873014072412832,0.37316065000000004,0.3823138,0.4179682,0.42747044999999995
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,q_1,0.24317694979166668,0.02269735770083597,0.201167975,0.2149226,0.2732434,0.29017384999999996
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,q_2,0.5420368117708333,0.01881268099664318,0.505188925,0.5178279,0.5661074,0.5785710749999999
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,q_6,0.21943114911458333,0.020415705880467223,0.1815598,0.1940798,0.24609340000000002,0.261541475
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,r_1,0.50719045625,0.03225284815014812,0.44373497500000003,0.46626409999999996,0.5485692999999999,0.571504675
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,r_2,0.8053221646354166,0.01774906129764557,0.769134825,0.7825685,0.8279006,0.8390822499999999
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,beta,Pratte_2010,r_6,0.75455280359375,0.02263213489489541,0.7083060999999999,0.725196,0.7828666,0.797839125
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,Dn,0.32769271640625,0.03086883089293876,0.267988475,0.28798599999999996,0.3674552,0.3880581
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,Do,0.40694875609375,0.019909921073824853,0.36767459999999996,0.3816349,0.4321232,0.44637039999999994
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,g,0.39577480541666665,0.014468929066741774,0.367181425,0.3772129,0.414388,0.42396845
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,q_1,0.16621972669270832,0.02482639330669713,0.12040680000000001,0.1350747,0.19894480000000003,0.21771915
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,q_2,0.5459839441145833,0.022096838350601444,0.5012536249999999,0.5175749000000001,0.5741141,0.58859325
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,q_6,0.15584420607291666,0.02139173507142931,0.1166364,0.1289319,0.183823,0.20008349999999997
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,r_1,0.5068396333333334,0.044892089085819147,0.42166125,0.4504674,0.5649262,0.5981973999999999
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,r_2,0.8270793147395833,0.02011828166924918,0.7884498,0.8016481999999999,0.8529553000000001,0.867179025
pratte_orig.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,r_6,0.8031617583854167,0.02589129022238094,0.7513769749999999,0.7699029,0.8358761,0.852811075
