model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,Dn,0.3694373003530106,0.01849952354943723,0.07335372991051509,0.13039540319021414,0.5975114288337557,0.747261440621487
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,Do,0.4255327061609078,0.01652262659950277,0.10259639061336667,0.23509361893235034,0.6768804262481032,0.7245820466758137
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,g,0.39268433453539187,0.01360550300331763,0.16275519415471815,0.23299377029781831,0.568867389873634,0.6719717377819597
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_1,0.22957491278187955,0.024314054494418365,0,0.025340513145328605,0.638926433048104,0.8344265241299361
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_2,0.5457347507343563,0.01773118144608744,0.2183214393888156,0.35700374836528004,0.7769823203798686,0.9060191165294162
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_6,0.21159188103752583,0.021128042326934337,0,0.009523809445637814,0.523368150672289,0.811813608074296
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_1,0.47384327194411946,0.02957307203972262,0.008760580281690912,0.08645920078680304,0.8964652213704418,0.97664177985613
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_2,0.8145615209761452,0.03834894085473551,0,0.4973808283438256,1,1
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_5,0.7600746136660994,0.03939432385102993,0.031007781137913318,0.38873855430254745,1,1
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_6,0.7227810080283719,0.020146976010983825,0.27728994704539783,0.48491980862906003,0.9538584602751393,0.9960063473422867
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,Dn,0.3694373003530106,0.01849952354943723,0.07335372991051509,0.13039540319021414,0.5975114288337557,0.747261440621487
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,Do,0.4255327061609078,0.01652262659950277,0.10259639061336667,0.23509361893235034,0.6768804262481032,0.7245820466758137
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,g,0.39268433453539187,0.01360550300331763,0.16275519415471815,0.23299377029781831,0.568867389873634,0.6719717377819597
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_1,0.22957491278187955,0.024314054494418365,0,0.025340513145328605,0.638926433048104,0.8344265241299361
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_2,0.5457347507343563,0.01773118144608744,0.2183214393888156,0.35700374836528004,0.7769823203798686,0.9060191165294162
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_6,0.21159188103752583,0.021128042326934337,0,0.009523809445637814,0.523368150672289,0.811813608074296
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_1,0.48920303214491634,0.030203858486458388,0,0.07366440374143314,0.911306969409739,0.993699458547221
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_2,0.7618210505122479,0.030850214020167327,0,0.2575640407217203,1,1
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_5,0.7020699273872529,0.031724881954932026,0,0.21182509364881003,1,1
pratte_qrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_6,0.7253519567760511,0.019927173753982827,0.2811682902926558,0.48834860665382146,0.961492613782047,0.9973502903273399
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,Dn,0.2747600183971711,0.05427277592588117,0.16838733224143154,0.20520665744290678,0.34431337935143547,0.3811327045529107
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,Do,0.469428958696185,0.02206762119858861,0.4261772159224787,0.44114816420128855,0.49770975319108146,0.5126807014698913
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,g,0.34991180385831705,0.026404439635703,0.2981600531403773,0.31607315290585397,0.38375045481078013,0.4016635545762568
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_1,0.22739179244110103,0.004683306614569979,0.21821268014798567,0.22138989351727348,0.23339369136492857,0.23657090473421638
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_2,0.5154066808550984,0.004813341647486678,0.5059727045807378,0.5092381353312608,0.521575226378936,0.524840657129459
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_6,0.2185329493477961,0.005378670110039389,0.2079909496473968,0.21163990624772716,0.22542599244786504,0.2290749490481954
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_1,0.5923887552739632,0.07221271446316792,0.4508544357002794,0.4998444380014651,0.6849330725464613,0.733923074847647
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_2,1,0.18085227375285096,0.6455360569222337,0.7682284854397331,1.2317715145602668,1.3544639430777663
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_5,0.6691807423282812,0.02230094745035048,0.6254716885044739,0.6406009282101567,0.6977605564464057,0.7128897961520885
pratte_qrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_6,0.6899723855961357,0.022594431762686565,0.6456881130901222,0.6610164561980741,0.7189283149941973,0.7342566581021492
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,Dn,0.34929289008142256,0.012601749797745513,0.32434213318398264,0.33293907435169945,0.36528950122064613,0.3739208488862258
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,Do,0.42469465537127216,0.00790167463703308,0.4090217591176823,0.4145941212540826,0.43468912852120056,0.44010119118808216
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,g,0.3908645834371398,0.007595223211189632,0.3760554307856725,0.3811385806944918,0.4006392480691271,0.40584038381348003
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,q_1,0.23968802887471644,0.0041096941999465,0.23168541530754772,0.2344140597065033,0.2449897144722705,0.24783490214170076
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,q_2,0.5580156924676599,0.004468030806173246,0.5492383622938954,0.5522990175072304,0.563726769444133,0.5667248741452744
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,q_6,0.22682758663315933,0.005385023540731745,0.21630033006233093,0.2199649185607484,0.23369851658916896,0.23750729862982833
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,r_1,0.49756013364746027,0.01652575754846238,0.4656446274218489,0.4766700808141623,0.5185996841948097,0.5306295806559337
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,r_2,0.6792276862673865,0.019423407246467576,0.6404198458556819,0.6543204310550718,0.7041345052420949,0.7168875538623999
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,r_5,0.6378512491523994,0.019442912748059295,0.6000430689934629,0.6126002105968917,0.6628042960020546,0.6753237710080573
pratte_qrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,r_6,0.717687184323573,0.01159407244934987,0.6952834132633579,0.702955292470283,0.7327307516505461,0.7407413382839783
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,Dn,0.3834237112140677,0.057411023680340116,0.2792550270998783,0.29827171894467946,0.45466762025442653,0.4679867017609233
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,Do,0.40756856289416804,0.038459173544843336,0.3430985966918922,0.35463598604215796,0.45898155457083095,0.46933532967253266
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,g,0.415284959268016,0.03795381008781956,0.3517387642662948,0.36198282973556667,0.4655824781061284,0.47536517998643857
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,q_1,0.22748887946746646,0.0047158619816634805,0.21834239860446855,0.22149572447598312,0.23355670270745238,0.2368479315435823
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,q_2,0.5156222252515961,0.004806001743226807,0.5061696465449936,0.509448293291732,0.5218086273769535,0.5250995171564788
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,q_6,0.21862212317112625,0.005409047463785361,0.20817022467943586,0.21173979124497522,0.22555560767596147,0.22923363144547632
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_1,0.4956748577705696,0.04350387013372664,0.43898652448253106,0.44736296574683887,0.5642083162325353,0.5876658030323545
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_2,0.8097612637390662,0.07600111755544968,0.7180487962624466,0.7307479338431174,0.9347262464272713,0.9818525841460463
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_5,0.7707091794612254,0.0907195315771357,0.6597887072730619,0.6756993468385499,0.9160657343341816,0.9767360246155342
pratte_qrest.eqn,Pratte_2010.csv,complete,TreeBUGS,simple,Pratte_2010,r_6,0.7664589628273589,0.05252564249272787,0.6892854313012295,0.7005923847207568,0.8422883638762976,0.8626164547213504
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,Dn,0.3359968274368687,0.042177172257077455,0.258414775,0.284951,0.386294,0.4359536749999998
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,Do,0.4341095803661616,0.02859723771709515,0.367239775,0.3990037,0.46830310000000003,0.48384115
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,g,0.37050234858585857,0.025266976888435305,0.3262519,0.34040080000000006,0.4023691,0.43101102499999994
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,q_1,0.17334014080555557,0.028397168959004595,0.125086975,0.1399389,0.2089511,0.24213257499999988
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,q_2,0.5554481687373737,0.02216624968863115,0.514244,0.5277067000000001,0.5845442,0.601288025
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,q_6,0.1595688975770202,0.02241488320788875,0.11905765,0.13217489999999998,0.1883351,0.2066332
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_1,0.5049769712121213,0.059555940287057456,0.393344925,0.4316087,0.5816783,0.63639105
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_2,0.898814566199495,0.06099905170287212,0.765422775,0.8176696999999999,0.9818404000000001,0.998285
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_5,0.7918842255808081,0.05362794450219184,0.707996625,0.7329799,0.8574830000000001,0.9324887999999998
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait,Pratte_2010,r_6,0.7515598967045455,0.03875026717951951,0.6848546999999999,0.706738,0.7979170999999999,0.8483211999999999
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,Dn,0.23503582331632653,0.028391242688927412,0.182136,0.19931659999999998,0.2717124,0.2936783
pratte_qrest.eqn,Pratte_2010.csv,partial,TreeBUGS,trait_uncorrelated,Pratte_2010,Do,0.46115352221938777,0.017980365439753766,0.425362575,0.4380209,0.4840811,0.4954562
