model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,Dn,0.3341585474858254,0.020170978764974052,0.026870230709022565,0.08400847822938669,0.5872216147606397,0.7296507543119459
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,Do,0.44327082762584763,0.015573986109544344,0.148382774739879,0.24412736186121303,0.6553432718562536,0.7146788767200549
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,g,0.37553762881776387,0.013402484873159013,0.17196079029736458,0.22362919947857712,0.537596824557149,0.6625789543672844
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_1,0.22884476119002972,0.024233239601491548,0,0.02534051312462165,0.6388911177077372,0.8315181644549308
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_2,0.5821914680561852,0.02062971227564739,0.07418367158924777,0.3703513133551031,0.8710241161416462,0.9470085470075188
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_5,0.4786225969977991,0.020557681895475338,0.14907400883375624,0.2360681114551033,0.7243697479061255,0.9408091620585618
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,q_6,0.2106706910604463,0.02091448581406163,0,0.009523809523810052,0.5211623291495058,0.8094750873510884
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_1,0.5625675637786746,0.03513124069704798,0.0415532812347055,0.17902809213934895,1,1
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_2,0.7859893187397491,0.02029532147981469,0.47053853799148154,0.5788632019467832,1,1
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,PB/MLE,Pratte_2010,r_6,0.7073318425204388,0.02157973222575094,0.26363431681003624,0.4444202463025322,0.9951318444608237,1
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,Dn,0.3341585474858254,0.020170978764974052,0.026870230709022565,0.08400847822938669,0.5872216147606397,0.7296507543119459
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,Do,0.44327082762584763,0.015573986109544344,0.148382774739879,0.24412736186121303,0.6553432718562536,0.7146788767200549
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,g,0.37553762881776387,0.013402484873159013,0.17196079029736458,0.22362919947857712,0.537596824557149,0.6625789543672844
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_1,0.22884476119002972,0.024233239601491548,0,0.02534051312462165,0.6388911177077372,0.8315181644549308
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_2,0.5821914680561852,0.02062971227564739,0.07418367158924777,0.3703513133551031,0.8710241161416462,0.9470085470075188
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_5,0.4796422750445919,0.02037018039105795,0.1491487525465401,0.236222910216714,0.720672268913136,0.9396408839735768
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,q_6,0.2106706910604463,0.02091448581406163,0,0.009523809523810052,0.5211623291495058,0.8094750873510884
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_1,0.5592762230329154,0.033496729064149876,0,0.10837286103134251,1,1
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_2,0.7627577149191196,0.024176921976521912,0.016256157956779486,0.5163839057781716,1,1
pratte_rrest.eqn,Pratte_2010.csv,no,MPTinR,asymptotic,Pratte_2010,r_6,0.702856785256664,0.021587667848389457,0.2477417828186485,0.4380965786072398,0.9926977666912353,1
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,Dn,0.3317932486197977,0.013676869556939536,0.30498707686694393,0.31426563502735255,0.34932086221224284,0.35859942037265147
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,Do,0.44372152521389313,0.007575281608947999,0.42887424608760644,0.4340134112085046,0.45342963921928164,0.4585688043401798
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,g,0.3798955932113289,0.007596846227197743,0.3650060482099323,0.370159843035662,0.38963134338699573,0.39478513821272543
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_1,0.22739179243884972,0.004681242178768708,0.21821672636555323,0.22139253919595525,0.23339104568174418,0.2365668585121462
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_2,0.5602195673295632,0.00630683526775312,0.5478583973483401,0.5521370327185423,0.5683021019405842,0.5725807373107864
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_5,0.4552352048251543,0.007332139339759591,0.4408644757895962,0.4458386901754942,0.46463171947481435,0.46960593386071237
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,q_6,0.21853294934628772,0.005378701061139697,0.20799088898284654,0.21163986658078773,0.22542603211178772,0.2290750097097289
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_1,0.5302262025214781,0.014754811650505802,0.5013073030878148,0.5113171505514567,0.5491352544914996,0.5591451019551414
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_2,0.7731921498708136,0.013775409489958873,0.746192843398203,0.7555382522729389,0.7908460474686884,0.8001914563434243
pratte_rrest.eqn,Pratte_2010.csv,complete,MPTinR,asymptotic,Pratte_2010,r_6,0.7173487974165897,0.009175390933284384,0.699365361643277,0.7055900608015554,0.7291075340316241,0.7353322331899025
pratte_rrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,Dn,0.3162600382356727,0.012622397125692365,0.2909265593313238,0.30001726503574977,0.33232238607509856,0.3404355296012926
pratte_rrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,Do,0.4444307477790638,0.007221509776836114,0.43017102239535565,0.4351308198917323,0.4536813568506328,0.45840836754953274
pratte_rrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,g,0.3697905451736255,0.006979160253728541,0.3560869886586354,0.36089440241032134,0.37865856363904166,0.38349277004604765
pratte_rrest.eqn,Pratte_2010.csv,no,TreeBUGS,simple,Pratte_2010,q_1,0.2400711015966677,0.004119216709031231,0.23204652163463943,0.2347906610295132,0.24532415671157448,0.2482240867629793
