"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
2,9,14,12,14,19,10,16,24,10,8,2,"Smith_2004","1:Smith_2004"
3,11,11,13,12,20,13,25,17,8,7,0,"Smith_2004","2:Smith_2004"
1,6,10,9,16,28,16,13,17,7,11,6,"Smith_2004","3:Smith_2004"
3,7,4,6,8,42,8,7,4,9,16,26,"Smith_2004","4:Smith_2004"
7,5,6,5,4,43,23,20,17,6,3,1,"Smith_2004","5:Smith_2004"
2,8,8,3,7,42,8,33,20,6,3,0,"Smith_2004","6:Smith_2004"
0,3,0,1,0,66,21,24,7,6,7,5,"Smith_2004","7:Smith_2004"
4,11,10,4,11,30,6,12,15,18,11,8,"Smith_2004","8:Smith_2004"
15,5,6,4,3,37,35,8,9,5,1,12,"Smith_2004","9:Smith_2004"
3,8,18,13,11,17,4,16,24,15,11,0,"Smith_2004","10:Smith_2004"
3,12,6,4,5,40,29,14,17,5,3,2,"Smith_2004","11:Smith_2004"
15,17,11,9,7,11,23,19,14,5,7,2,"Smith_2004","12:Smith_2004"
5,10,4,5,14,32,15,29,8,7,8,3,"Smith_2004","13:Smith_2004"
7,2,8,7,3,43,27,14,14,5,8,2,"Smith_2004","14:Smith_2004"
4,10,9,10,4,33,7,24,17,15,4,3,"Smith_2004","15:Smith_2004"
0,5,3,4,19,39,16,29,11,2,8,4,"Smith_2004","16:Smith_2004"
3,7,15,17,10,18,11,19,26,7,6,1,"Smith_2004","17:Smith_2004"
8,9,0,0,2,51,39,24,0,0,2,5,"Smith_2004","18:Smith_2004"
3,3,9,9,11,35,6,24,17,16,5,2,"Smith_2004","19:Smith_2004"
5,17,1,0,3,44,34,22,6,4,2,2,"Smith_2004","20:Smith_2004"
3,2,15,9,14,27,1,7,34,17,9,2,"Smith_2004","21:Smith_2004"
0,3,4,6,23,34,10,28,17,6,8,1,"Smith_2004","22:Smith_2004"
1,3,8,3,10,45,24,31,12,0,1,2,"Smith_2004","23:Smith_2004"
2,12,8,10,12,26,7,31,21,5,5,1,"Smith_2004","24:Smith_2004"
5,5,4,2,4,50,25,28,7,3,3,4,"Smith_2004","25:Smith_2004"
2,8,5,6,9,40,17,33,8,2,3,7,"Smith_2004","26:Smith_2004"
4,9,5,5,7,40,22,23,11,3,6,5,"Smith_2004","27:Smith_2004"
2,3,3,2,6,54,27,12,5,6,11,9,"Smith_2004","28:Smith_2004"
9,5,2,5,12,37,33,10,3,5,10,9,"Smith_2004","29:Smith_2004"
9,6,2,1,8,44,46,12,2,2,4,4,"Smith_2004","30:Smith_2004"
