model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,Dn,0.3679604407918024,0.043159366171984105,0,0.05232956794540724,0.6614287543155247,0.7755039344843608
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,Do,0.5452339061474191,0.035542583594355116,0.22190116843861446,0.2842855245733868,0.7805564322126348,0.8735195059997201
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,g,0.3952199105703921,0.026195223047898217,0.19166773803754464,0.23817061390521468,0.5685816737987025,0.7150142263449114
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_1,0.21754582946084045,0.03085802069115316,0,0.05294117594769428,0.4773453474199735,0.5664663462235355
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_2,0.5288746020817232,0.03149427305779371,0.23492946109733237,0.34487179490322784,0.7243638617327282,0.8632826819550609
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_6,0.2443644254470622,0.03673557928636295,0,0.0533339094942764,0.5410144927587761,0.6809523808813245
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_1,0.6466904988996283,0.08445289881740634,0.11010322844620651,0.28845307633652395,0.9913521885830523,1
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_2,0.8407546410055861,0.04554515731510927,0.49204919561065785,0.6168962550338855,1,1
smith_orig.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_6,0.8599706029533355,0.027591749571544994,0.5568456242411391,0.6316239853906391,1,1
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,Dn,0.3679604407918024,0.043159366171984105,0,0.05232956794540724,0.6614287543155247,0.7755039344843608
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,Do,0.5452339061474191,0.035542583594355116,0.22190116843861446,0.2842855245733868,0.7805564322126348,0.8735195059997201
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,g,0.3952199105703921,0.026195223047898217,0.19166773803754464,0.23817061390521468,0.5685816737987025,0.7150142263449114
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_1,0.21754582946084045,0.03085802069115316,0,0.05294117594769428,0.4773453474199735,0.5664663462235355
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_2,0.5288746020817232,0.03149427305779371,0.23492946109733237,0.34487179490322784,0.7243638617327282,0.8632826819550609
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_6,0.2584411668210378,0.03817971425832674,0,0.06000064818106096,0.591666666665988,0.6797619047286295
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_1,0.5656611184682355,0.061648770890747995,0.02051815965685545,0.1212355425938213,1,1
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_2,0.7312715163980666,0.05207959290383728,0.0786622747808329,0.2791854123366163,1,1
smith_orig.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_6,0.8646382495215577,0.027061742847485488,0.5577031171756042,0.6334625556948223,1,1
smith_orig.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,Dn,0.3753129081315906,0.039931347411205194,0.29704890535147166,0.3241388273424552,0.42648698892072595,0.4535769109117095
smith_orig.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,Do,0.5548413372694616,0.02101594198116293,0.5136508478851989,0.5279083239221077,0.5817743506168155,0.5960318266537243
smith_orig.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,g,0.4009626476872517,0.024513014729024733,0.3529180216658634,0.3695479552850522,0.4323773400894512,0.44900727370864
smith_orig.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,q_1,0.23214285693863307,0.017841191852433318,0.19717476346659432,0.20927844958896558,0.25500726428830056,0.2671109504106718
smith_orig.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,q_2,0.4987893450398386,0.01739717400188269,0.464691510563372,0.47649396946167405,0.5210847206180033,0.5328871795163053
