model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,Dn,0.39211909803003403,0.03869019742468108,0.03811428571428569,0.10236392917823442,0.6328342024370524,0.7651371603386332
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,Do,0.5502802338981426,0.02939314293065761,0.2801184820166309,0.33960317466809276,0.7226386625760233,0.8126660493410236
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,g,0.4124985564993438,0.026477026296666848,0.16308145140543553,0.2287756959430416,0.5786788097178049,0.697722614727595
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_1,0.21836844564967736,0.03074317932911573,0,0.05294117647058829,0.4773458289011105,0.5664663462990533
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_2,0.5322527788076971,0.030940104549311554,0.25654147264491245,0.35098038993252184,0.7243647542309601,0.8632826819539304
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_6,0.24474546307520198,0.036707070657405486,0,0.05333392804341422,0.5410144927536358,0.6809523000248324
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_1,0.4650939047549865,0.062447791251386435,0.052338904950310725,0.1336729724762908,0.8827729260086801,0.9848663300230032
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_2,0.7750116622765353,0.05958468697431553,0.4366400725813868,0.6258551243349796,0.9662800694828815,0.9915700173707204
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_5,0.979688585283154,0.013549827356194283,0.9179374389524458,0.9320450797877795,1,1
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_6,0.8401812440887826,0.023734915789268146,0.5807241615159455,0.6977184184855749,0.9851291672545165,1
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,Dn,0.39211909803003403,0.03869019742468108,0.03811428571428569,0.10236392917823442,0.6328342024370524,0.7651371603386332
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,Do,0.5502802338981426,0.02939314293065761,0.2801184820166309,0.33960317466809276,0.7226386625760233,0.8126660493410236
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,g,0.4124985564993438,0.026477026296666848,0.16308145140543553,0.2287756959430416,0.5786788097178049,0.697722614727595
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_1,0.21836844564967736,0.03074317932911573,0,0.05294117647058829,0.4773458289011105,0.5664663462990533
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_2,0.5322527788076971,0.030940104549311554,0.25654147264491245,0.35098038993252184,0.7243647542309601,0.8632826819539304
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_6,0.25880950319496127,0.03814942976840905,0,0.060000669048841,0.591666666666855,0.6797618307149432
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_1,0.4931052444814306,0.05755637740682994,0,0.06542121660118733,0.893037246667994,1
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_2,0.6408385394367072,0.06134643976934111,0,0,1,1
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_5,0.7197291136422502,0.06261577996347774,0,0.10582031214078054,1,1
smith_qrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_6,0.8401812440887826,0.023734915789268146,0.5807241615159455,0.6977184184855749,0.9851291672545165,1
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,Dn,0.2496488891015316,5939.861316220436,-11641.664604065632,-7611.988920031012,7612.488217809214,11642.163901843833
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,Do,0.5997126052984214,1587.7743833677434,-3111.380894370771,-2034.2150341312463,2035.4144593418432,3112.5803195813673
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,g,0.33381198060185985,2642.4920836121855,-5178.855501331486,-3386.156054711809,3386.823678673012,5179.52312529269
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,q_1,0.23214285714298993,0.01784119185542488,0.19717476366508782,0.2092784497894886,0.25500726449649125,0.267110950620892
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,q_2,0.4987893462477489,0.017397174018300276,0.4646915117391044,0.4764939706485443,0.5210847218469534,0.5328871807563934
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,q_6,0.2471482889736803,0.018807914978507114,0.21028545299151494,0.22304497608834475,0.2712516018590158,0.2840111249558457
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,r_1,0.6090667833593448,8968.098582604627,-17576.541164926413,-11492.471711711916,11493.689845278635,17577.759298493133
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,r_2,1,23423.123959493118,-45907.479366023734,-30016.941180233654,30018.941180233654,45909.47936602373
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,r_5,0.676861458308249,1849.0645344473608,-3623.4230311488404,-2368.9946874557054,2370.348410372322,3624.7767540654568
smith_qrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,r_6,0.808045235388294,1485.0076442816676,-2909.753454323348,-1902.3058261394824,1903.9219166102591,2911.369544794124
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,Dn,0.339560855140007,0.0312530454735831,0.2782604579708594,0.29945430782163496,0.37960404062851283,0.40115206173421636
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,Do,0.5477673484934729,0.020538665527166575,0.5057322142948025,0.5210238502763459,0.5734343730191029,0.5862210095489662
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,g,0.38938403736644617,0.021494012032374034,0.34871838630178237,0.3619060047247885,0.4171460287760591,0.43296474771674387
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,q_1,0.2574927066666698,0.01606273121483605,0.2262399240015309,0.23707612355213423,0.27813334742026036,0.28908222668625333
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,q_2,0.5514881923950408,0.014659667360010835,0.5223096029799766,0.5325173023120982,0.5700908847813339,0.5803282021226095
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,q_6,0.29713537770045473,0.018915144826727407,0.26005393897572493,0.2730812685501141,0.3212121254032194,0.3349655704627764
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,r_1,0.4913158006284544,0.036854086937978155,0.41967370993038294,0.4446715144956123,0.5385859772923066,0.5653179749305488
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,r_2,0.6053847037439897,0.04204610177073815,0.521058939515511,0.551673579703232,0.65873864500688,0.686274229861476
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,r_5,0.5806142541025373,0.04237762583455584,0.49753985710179116,0.5260776510230081,0.6349065493099322,0.6632790825786586
smith_qrest.eqn,Smith_2004.csv,no,TreeBUGS,simple,Smith_2004,r_6,0.7992322661237725,0.020259696469831615,0.7585431210393534,0.7732633939468886,0.8248809875245171,0.8381274563849519
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,Dn,0.3533585787730181,0.07667746905958661,0.2188367922730576,0.2529887934006451,0.45657501671489553,0.4904811536480197
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,Do,0.5574504190289954,0.03679374410983174,0.4834381528473648,0.5067850611981308,0.60281748498417,0.6185574484160924
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,g,0.3930820607936898,0.04730224924967143,0.3166512960759347,0.334167523068829,0.45901354557302043,0.4846917544054334
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,q_1,0.2334452598344877,0.017945571210518152,0.19897667446116304,0.2106068605801159,0.25638085444714304,0.26902872169588044
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,q_2,0.5022051229498172,0.01756341345551655,0.4676957139103468,0.47966239573721997,0.5247365731073252,0.5363499300247115
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,q_6,0.2480509594039589,0.01888244920167983,0.21240242956542632,0.22407807184391676,0.27273561694330956,0.28633576969373953
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,r_1,0.508616413104831,0.06822687058339512,0.4071924766114662,0.4298957617332748,0.6027547028490222,0.65904497284113694
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,r_2,0.7886947834414302,0.09904657674398902,0.6385238811065681,0.6713401469264667,0.9402758581383905,0.9841446902039772
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,r_5,0.7525144822886743,0.10086629524925808,0.5956928435028793,0.6370393078474963,0.9082426135259265,0.9743888065065879
smith_qrest.eqn,Smith_2004.csv,complete,TreeBUGS,simple,Smith_2004,r_6,0.8519090821521272,0.040648633128703184,0.7864517024492924,0.8027727492928232,0.9094086481756661,0.9354333413674876
