model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,Dn,0.3547571685807211,0.04038532881235373,0.03418800826524172,0.09302729286156873,0.5942328112170548,0.7944934250546798
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,Do,0.5543758530005132,0.03389193770098344,0.2210626211393076,0.2792604401175845,0.7353568085496374,0.8649131040228693
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,g,0.3890171007179653,0.026930963687124023,0.17165560594319867,0.187409256276666,0.5762820071801202,0.7150142260725019
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_1,0.21801883143282008,0.03083353136079191,0,0.052941176470588096,0.4773755055713538,0.5664663461535587
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_2,0.541059497875795,0.041632322163459703,0.17224410055862996,0.27140964091465897,0.8106280199559025,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_5,0.5067650100484222,0.03517147565330774,0.19517543861379172,0.2952375110231877,0.6800000000000207,0.870000649288552
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,q_6,0.2448269848552058,0.036756581979681,0,0.05333362611353632,0.5410144927490109,0.680952368770156
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_1,0.6373399635697778,0.07128784367512277,0.1250177288010925,0.3111970489993773,0.8786142568113047,0.9631578947368389
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_2,0.8301003565679723,0.04577607690517212,0.48739560027887696,0.5826396207759804,0.9913348790646226,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,PB/MLE,Smith_2004,r_6,0.8467462019300731,0.02796220740011552,0.5641017775992565,0.6268243874879863,1,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,Dn,0.3547571685807211,0.04038532881235373,0.03418800826524172,0.09302729286156873,0.5942328112170548,0.7944934250546798
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,Do,0.5543758530005132,0.03389193770098344,0.2210626211393076,0.2792604401175845,0.7353568085496374,0.8649131040228693
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,g,0.3890171007179653,0.026930963687124023,0.17165560594319867,0.187409256276666,0.5762820071801202,0.7150142260725019
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_1,0.21801883143282008,0.03083353136079191,0,0.052941176470588096,0.4773755055713538,0.5664663461535587
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_2,0.5412059994634102,0.04022091116391818,0.17455709217779214,0.2740858460327878,0.794202898866838,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_5,0.5279403608857596,0.035707932834929956,0.19846491230003496,0.32380864747934085,0.7100000998905495,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,q_6,0.2597060447897225,0.03850146735872996,0,0.06000032937772837,0.5916666666458457,0.6975476778574481
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_1,0.5349096259453348,0.05889148838827055,0.01913564282906197,0.056796958967697556,0.9455121045707114,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_2,0.699343090545065,0.05270108072635429,0,0.21264415568994216,1,1
smith_rrest.eqn,Smith_2004.csv,no,MPTinR,asymptotic,Smith_2004,r_6,0.8498546066808526,0.026650184953506524,0.5659443485174902,0.6373787756647235,1,1
smith_rrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,Dn,0.35112087509401924,0.04899100801948283,0.25510026380951994,0.28833637206904295,0.4139053781189955,0.4471414863785185
smith_rrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,Do,0.5656798222307733,0.023069323621200438,0.5204647787855213,0.5361152944279688,0.5952443500335778,0.6108948656760252
smith_rrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,g,0.3860136362196354,0.02860986969025963,0.32993932202434245,0.3493486129280562,0.42267865951121464,0.4420879504149284
smith_rrest.eqn,Smith_2004.csv,complete,MPTinR,asymptotic,Smith_2004,q_1,0.23214285714469407,0.017841191855887777,0.1971747636658847,0.2092784497905995,0.25500726449878863,0.26711095062350343
